#Classification	S-8-POLPIL-G_bracken_P.kreport
k__Bacteria	81353
k__Bacteria|p__Proteobacteria	65541
k__Bacteria|p__Actinobacteria	11356
k__Bacteria|p__Cyanobacteria	565
k__Bacteria|p__Firmicutes	58
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Acidobacteria	2706
k__Bacteria|p__Bacteroidetes	855
k__Bacteria|p__Planctomycetes	253
k__Bacteria|p__Verrucomicrobia	8
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	68418
k__Eukaryota|k__Viridiplantae	65581
k__Eukaryota|k__Viridiplantae|p__Streptophyta	65581
k__Eukaryota|k__Metazoa	2433
k__Eukaryota|k__Metazoa|p__Chordata	2433
k__Eukaryota|k__Fungi	399
k__Eukaryota|k__Fungi|p__Ascomycota	374
k__Eukaryota|k__Fungi|p__Basidiomycota	25
k__Eukaryota|p__Cercozoa	3
k__Eukaryota|p__Euglenozoa	1
