# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_paired_1.fastq -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_paired_2.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_1.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Feces/preproc/GQ27/GQ27_unmatched_2.fastq -n GQ27 -t 8 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	GQ27
ref_mOTU_v31_00282	Streptococcus pneumoniae	1313	32
ref_mOTU_v31_00283	Streptococcus sp. [Streptococcus pneumoniae/Streptococcus sp. HMSC070B10/Streptococcus sp. HMSC063B03/Streptococcus sp. HMSC077D04/Streptococcus sp. HMSC073F11/Streptococcus sp. CCUG 49591/Streptococcus pseudopneumoniae/Streptococcus mitis/Streptococcus sp. M334]	NA	342
ref_mOTU_v31_00284	Streptococcus pseudopneumoniae	257758	1
ref_mOTU_v31_00285	Streptococcus mitis	28037	2
ref_mOTU_v31_00287	Streptococcus oralis	1303	11
ref_mOTU_v31_00288	Streptococcus oralis [Streptococcus oralis/Streptococcus sp. oral taxon 071/Streptococcus sp. F0441]	1303	5
ref_mOTU_v31_00290	Streptococcus oralis [Streptococcus sp. BS35b/Streptococcus sp. BS21/Streptococcus sp. BS29a/Streptococcus sp. SR1/Streptococcus oralis/Streptococcus sp. CM6]	1303	3
ref_mOTU_v31_00291	Streptococcus oralis	1303	1
ref_mOTU_v31_00292	Streptococcus oralis	1303	3
ref_mOTU_v31_00293	Streptococcus sp. oral taxon 058	712622	2
ref_mOTU_v31_00296	Streptococcus oralis	1303	12
ref_mOTU_v31_00301	Streptococcus sp. [Streptococcus sp. SK140/Streptococcus oralis/Streptococcus sp. HMSC074B11/Streptococcus sp. HMSC061D10/Streptococcus sp. HMSC056C01/Streptococcus sp. HMSC034E03/Streptococcus sp. HMSC071D03/Streptococcus pseudopneumoniae/Streptococcus infantis/Streptococcus sp. oral taxon 431]	NA	21
ref_mOTU_v31_00303	Streptococcus sp. HMSC067H01	1739491	3
ref_mOTU_v31_00304	Streptococcus sp. HPH0090	1203590	1
ref_mOTU_v31_00305	Streptococcus infantis	68892	2
ref_mOTU_v31_00306	Streptococcus infantis	68892	1
ref_mOTU_v31_00307	Streptococcus pseudopneumoniae/infantis [Streptococcus sp. HMSC062D07/Streptococcus pseudopneumoniae/Streptococcus infantis]	NA	6
ref_mOTU_v31_00308	Streptococcus infantis	68892	1
ref_mOTU_v31_00309	Streptococcus timonensis	1852387	1
ref_mOTU_v31_00310	Streptococcus sp. [Streptococcus sp. I-G2/Streptococcus sp. I-P16]	NA	7
ref_mOTU_v31_00311	Streptococcus australis [Streptococcus australis/Streptococcus sp. 400_SSPC/Streptococcus sp. 343_SSPC/Streptococcus sp. 1171_SSPC/Streptococcus sp. A12]	113107	4
ref_mOTU_v31_00312	Streptococcus parasanguinis [Streptococcus sp. HSISM1/Streptococcus parasanguinis/Streptococcus sp. HMSC074F05/Streptococcus sp. HMSC057G03/Streptococcus sp. HMSC076C09/Streptococcus sp. HMSC073D05/Streptococcus sp. HMSC072C09/Streptococcus sp. HMSC072G04/Streptococcus sp. HMSC061E03/Streptococcus sp. HMSC065C01/Streptococcus sp. HMSC078D09/Streptococcus sp. HMSC065E03]	1318	53
ref_mOTU_v31_00313	Streptococcus sp. F0442	999425	2
ref_mOTU_v31_00346	Staphylococcus epidermidis [Staphylococcus epidermidis/Staphylococcus sp. HMSC34G04/Staphylococcus sp. HMSC074F11/Staphylococcus sp. HMSC077C03/Staphylococcus sp. HMSC058E12/Staphylococcus sp. HMSC074D07/Staphylococcus sp. HMSC070A07/Staphylococcus sp. HMSC063F05/Staphylococcus sp. HMSC077D09/Staphylococcus sp. HMSC064E11/Staphylococcus sp. HMSC063F03/Staphylococcus sp. HMSC034A07/Staphylococcus sp. HMSC077D08/Staphylococcus sp. HMSC036A09/Staphylococcus sp. HMSC077G12/Staphylococcus sp. HMSC077H01/Staphylococcus sp. HMSC075A04/Staphylococcus sp. HMSC072H01/Staphylococcus sp. HMSC034G11/Staphylococcus sp. HMSC034D07/Staphylococcus sp. HMSC062D04/Staphylococcus sp. HMSC067B04/Staphylococcus sp. HMSC066G04/Staphylococcus sp. HMSC073C02/Staphylococcus sp. HMSC065D05/Staphylococcus sp. HMSC065D11/Staphylococcus sp. HMSC068G12/Staphylococcus sp. HMSC073E10/Staphylococcus sp. HMSC076H12/Staphylococcus sp. HMSC055B03/Staphylococcus sp. HMSC062B11/Staphylococcus sp. HMSC055A10/Staphylococcus sp. HMSC068G11]	1282	1
ref_mOTU_v31_00379	Lautropia mirabilis	47671	17
ref_mOTU_v31_00800	Cutibacterium acnes [Propionibacterium sp. CC003-HC2/Propionibacterium sp. KPL1847/Propionibacterium sp. KPL1849/Propionibacterium sp. KPL1854/Propionibacterium sp. KPL2003/Propionibacterium sp. KPL2008/Propionibacterium sp. KPL2009/Propionibacterium sp. MB3007/Propionibacterium sp. HMSC068C01/Propionibacterium sp. HMSC078F01/Propionibacterium sp. HMSC069G10/Propionibacterium sp. HMSC065F07/Propionibacterium sp. HMSC078F10/Propionibacterium sp. HMSC067A02/Propionibacterium sp. HMSC075A12/Propionibacterium sp. HMSC067A01/Propionibacterium sp. HMSC062D02/Propionibacterium sp. HMSC062D05/Cutibacterium acnes/Propionibacterium sp. CG1_02_60_36/Propionibacterium sp. 5_U_42AFAA/Propionibacterium sp. 409-HC1/Propionibacterium sp. 434-HC2]	1747	2
ref_mOTU_v31_00892	Capnocytophaga ochracea [Capnocytophaga ochracea/Capnocytophaga sp. oral taxon 323/Capnocytophaga sp. oral taxon 324/Capnocytophaga sp. oral taxon 335/Capnocytophaga sp. oral taxon 336/Capnocytophaga sp. oral taxon 380/Capnocytophaga sp. oral taxon 412]	1018	2
ref_mOTU_v31_00938	Haemophilus influenzae	727	1
ref_mOTU_v31_00939	Haemophilus sp. [Haemophilus quentini/Haemophilus sp. CCUG 66565/Haemophilus haemolyticus/Haemophilus influenzae/Haemophilus sp. oral taxon 851]	NA	14
ref_mOTU_v31_00940	Haemophilus sp. C1	1661745	9
ref_mOTU_v31_00999	Fusobacterium periodonticum	860	21
ref_mOTU_v31_01001	Fusobacterium nucleatum subsp. animalis [Fusobacterium sp. CAG:649/Fusobacterium sp. HMSC065F01/Fusobacterium nucleatum/Fusobacterium sp. CM1]	851	2
ref_mOTU_v31_01002	Fusobacterium nucleatum subsp. vincentii [Fusobacterium sp. HMSC064B12/Fusobacterium nucleatum]	851	1
ref_mOTU_v31_01003	Fusobacterium nucleatum subsp. nucleatum	851	1
ref_mOTU_v31_01004	Fusobacterium hwasookii/nucleatum [Fusobacterium sp. OBRC1/Fusobacterium hwasookii/Fusobacterium sp. HMSC064B11/Fusobacterium nucleatum/Fusobacterium sp. CM22]	NA	3
ref_mOTU_v31_01068	Haemophilus parainfluenzae	729	83
ref_mOTU_v31_01074	Capnocytophaga sputigena	1019	1
ref_mOTU_v31_01350	Streptococcus salivarius	1304	4
ref_mOTU_v31_01495	Neisseria sicca/macacae [Neisseria sp. HMSC06F02/Neisseria sp. HMSC70E02/Neisseria sp. HMSC077D05/Neisseria sp. HMSC074B07/Neisseria sp. HMSC055H02/Neisseria sp. HMSC067H09/Neisseria sp. HMSC065D04/Neisseria sicca/Neisseria macacae/Neisseria sp. GT4A_CT1]	NA	34
ref_mOTU_v31_01496	Neisseriaceae sp. [Morococcus cerebrosus/Neisseria sp. HMSC15C08/Neisseria sp. HMSC059F02/Neisseria sp. HMSC055F11/Neisseria sp. HMSC064F04/Neisseria sp. HMSC070E12/Neisseria mucosa]	NA	4
ref_mOTU_v31_01500	Neisseria sp. oral taxon 014	641148	1
ref_mOTU_v31_01539	Neisseria meningitidis [Neisseria sp. HMSC070F02/Neisseria meningitidis]	487	7
ref_mOTU_v31_01588	Eikenella sp. NML130454	1795832	1
ref_mOTU_v31_01589	Prevotella nigrescens	28133	4
ref_mOTU_v31_01591	Streptococcus sanguinis	1305	2
ref_mOTU_v31_01836	Haemophilus parahaemolyticus	735	1
ref_mOTU_v31_01840	Prevotella veroralis	28137	2
ref_mOTU_v31_01841	Prevotella sp. oral taxon 306	712461	5
ref_mOTU_v31_01911	Actinobacteria sp. [Schaalia odontolytica/Actinomyces sp. HMSC035G02/Xylanimonas cellulosilytica/Sanguibacter keddieii/Actinomyces sp. ICM54]	NA	1
ref_mOTU_v31_01912	Actinomyces sp. ICM39	1105029	3
ref_mOTU_v31_01913	Actinomyces sp. [Actinomyces sp. ICM58/Actinomyces sp. oral taxon 172]	NA	2
ref_mOTU_v31_01914	Actinomyces sp. ICM47	936548	6
ref_mOTU_v31_01938	Veillonella parvula [Veillonella parvula/Veillonella sp. 6_1_27/Veillonella sp. 3_1_44]	29466	4
ref_mOTU_v31_01939	Veillonella rogosae [Veillonella rogosae/Veillonella sp. oral taxon 158]	423477	24
ref_mOTU_v31_01940	Veillonella dispar	39778	9
ref_mOTU_v31_01941	Veillonella atypica [Veillonella sp. HPA0037/Veillonella atypica/Veillonella sp. ACP1/Veillonella sp. ICM51a]	39777	30
ref_mOTU_v31_02018	Actinomyces naeslundii	1655	2
ref_mOTU_v31_02019	Actinomyces oris	544580	22
ref_mOTU_v31_02020	Actinomyces sp. oral taxon 170	712117	1
ref_mOTU_v31_02041	Actinobacteria sp. [Actinomyces sp. ph3/Trueperella pyogenes/Streptomyces cattleya/Actinomyces sp. oral taxon 181]	NA	1
ref_mOTU_v31_02298	Leptotrichia hofstadii	157688	1
ref_mOTU_v31_02299	Leptotrichia buccalis	40542	2
ref_mOTU_v31_02300	Leptotrichia sp. oral taxon 879	1227267	1
ref_mOTU_v31_02302	Leptotrichia wadei	157687	5
ref_mOTU_v31_02394	Prevotella loescheii [Prevotella sp. oral taxon 472/Prevotella loescheii]	840	1
ref_mOTU_v31_02395	Prevotella conceptionensis [Prevotella sp. HMSC073D09/Prevotella conceptionensis/Prevotella sp. oral taxon 317]	340486	7
ref_mOTU_v31_02396	Prevotella maculosa	439703	1
ref_mOTU_v31_02398	Prevotella nanceiensis [Prevotella nanceiensis/Prevotella sp. oral taxon 299]	425941	4
ref_mOTU_v31_02399	Prevotella oris [Prevotella sp. HMSC077E09/Prevotella sp. HMSC069G02/Prevotella sp. HMSC077E08/Prevotella oris]	28135	2
ref_mOTU_v31_02523	Porphyromonas somerae [Porphyromonadaceae bacterium KA00676/Porphyromonas somerae/Porphyromonas sp. oral taxon 279/Porphyromonas sp. KLE 1280]	322095	113
ref_mOTU_v31_02524	Rothia aeria/dentocariosa	NA	11
ref_mOTU_v31_02535	Porphyromonas catoniae	41976	2
ref_mOTU_v31_02794	Prevotella scopos	589437	1
ref_mOTU_v31_02795	Prevotella melaninogenica [Prevotella sp. ICM33/Prevotella melaninogenica]	28132	73
ref_mOTU_v31_02797	Prevotella sp. C561	563031	76
ref_mOTU_v31_02949	Atopobium parvulum [Atopobium sp. ICM42b/Atopobium parvulum/Atopobium sp. BS2]	1382	2
ref_mOTU_v31_03217	Pseudopropionibacterium propionicum	1750	1
ref_mOTU_v31_03484	Prevotella oulorum	28136	3
ref_mOTU_v31_03485	Prevotella sp. HJM029	1433844	1
ref_mOTU_v31_03486	Prevotella histicola	470565	15
ref_mOTU_v31_03518	Campylobacter concisus [Campylobacter concisus/Campylobacter sp. 10_1_50]	199	12
ref_mOTU_v31_03691	Dialister invisus [Dialister invisus CAG:218/Dialister invisus]	218538	1
ref_mOTU_v31_03846	Actinomyces marseillensis/pacaensis [Actinomyces sp. S6-Spd3/Actinomyces marseillensis/Actinomyces pacaensis]	NA	1
ref_mOTU_v31_03967	Streptococcus cristatus	45634	2
ref_mOTU_v31_03969	Streptococcus gordonii [Streptococcus gordonii/Streptococcus sp. oral taxon 056]	1302	1
ref_mOTU_v31_03970	Streptococcus gordonii	1302	3
ref_mOTU_v31_04027	Tannerella forsythia	28112	2
ref_mOTU_v31_04048	Aggregatibacter aphrophilus	732	1
ref_mOTU_v31_04049	Aggregatibacter segnis	739	3
ref_mOTU_v31_04050	Aggregatibacter sp. oral taxon 458	712148	2
ref_mOTU_v31_04051	Leptotrichia sp. oral taxon 215	712359	7
ref_mOTU_v31_04052	Leptotrichia sp. oral taxon 212	712357	1
ref_mOTU_v31_04054	Actinomyces graevenitzii	55565	2
ref_mOTU_v31_04194	Gemella haemolysans	1379	49
ref_mOTU_v31_04195	Staphylococcaceae sp. [Gemella haemolysans/Staphylococcus pasteuri]	NA	14
ref_mOTU_v31_04233	Veillonella sp. [Veillonella sp. DNF00869/Veillonella sp. oral taxon 780]	NA	15
ref_mOTU_v31_04252	Prevotella salivae	228604	4
ref_mOTU_v31_04269	Mogibacterium timidum [Mogibacterium timidum/Mogibacterium sp. CM50]	35519	1
ref_mOTU_v31_04303	Gemella sanguinis	84135	10
ref_mOTU_v31_04782	Granulicatella adiacens [Granulicatella sp. HMSC30F09/Granulicatella sp. HMSC31F03/Granulicatella sp. 572.rep1_STHE/Granulicatella sp. 572.rep2_STHE/Granulicatella adiacens]	46124	3
ref_mOTU_v31_04783	Streptococcus sp. 263_SSPC	1579343	7
ref_mOTU_v31_04788	Abiotrophia defectiva [Abiotrophia sp. HMSC24B09/Abiotrophia defectiva]	46125	2
ref_mOTU_v31_04789	Neisseria elongata	495	5
ref_mOTU_v31_04790	Neisseria elongata [Neisseria sp. HMSC31F04/Neisseria elongata]	495	8
ref_mOTU_v31_04794	Neisseria sp. [Neisseria sp. HMSC066H01/Neisseria sp. HMSC078C12/Neisseria sp. HMSC061B04/Neisseria sp. HMSC070A01/Neisseria lactamica/Neisseria meningitidis/Neisseria mucosa]	NA	30
ref_mOTU_v31_04796	Neisseria subflava/meningitidis [Neisseria sp. HMSC072B12/Neisseria sp. HMSC058F07/Neisseria sp. HMSC075C12/Neisseria sp. HMSC063B05/Neisseria sp. HMSC071A01/Neisseria sp. HMSC067H04/Neisseria sp. HMSC067G12/Neisseria sp. HMSC067G11/Neisseria sp. HMSC068C12/Neisseria subflava/Neisseria meningitidis]	NA	91
ref_mOTU_v31_04797	Neisseria flavescens [Neisseria sp. HMSC064D07/Neisseria flavescens]	484	7
ref_mOTU_v31_04798	Neisseria sp. [Neisseria sp. HMSC15G01/Neisseria sp. HMSC064F03/Neisseria sp. HMSC078H04/Neisseria sp. HMSC056A04/Neisseria sp. HMSC070H10/Neisseria sp. HMSC072C05/Neisseria sp. HMSC066F04/Neisseria sp. HMSC061H08/Neisseria sp. HMSC068C04/Neisseria sp. HMSC061E12/Neisseria sp. HMSC073G10/Neisseria sp. HMSC069H12/Neisseria sp. HMSC066B07/Neisseria sp. HMSC075C10/Neisseria sp. HMSC056A03/Neisseria flavescens/Neisseria lactamica/Neisseria meningitidis]	NA	42
ref_mOTU_v31_04800	Rothia dentocariosa [Rothia sp. HMSC08A08/Rothia sp. HMSC071F11/Rothia sp. HMSC058E10/Rothia sp. HMSC064D08/Rothia sp. HMSC067H10/Rothia sp. HMSC065G12/Rothia sp. HMSC036D11/Rothia sp. HMSC069C01/Rothia sp. HMSC065D02/Rothia dentocariosa]	2047	71
ref_mOTU_v31_05265	Rothia mucilaginosa [Rothia sp. HMSC071B01/Rothia sp. HMSC078H08/Rothia sp. HMSC065C03/Rothia sp. HMSC061D12/Rothia sp. HMSC069D01/Rothia sp. HMSC064F07/Rothia sp. HMSC075F09/Rothia sp. HMSC062H08/Rothia sp. HMSC065C12/Rothia sp. HMSC069C10/Rothia sp. HMSC065B04/Rothia sp. HMSC069C04/Rothia sp. HMSC073B08/Rothia sp. HMSC066G02/Rothia sp. HMSC068E02/Rothia sp. HMSC061E04/Rothia sp. HMSC072B04/Rothia sp. HMSC071C12/Rothia sp. HMSC066G07/Rothia sp. HMSC076D04/Rothia sp. HMSC066H02/Rothia sp. HMSC065D09/Rothia sp. HMSC061C12/Rothia mucilaginosa]	43675	53
ref_mOTU_v31_06072	Treponema denticola	158	1
ref_mOTU_v31_06312	Capnocytophaga granulosa [Capnocytophaga granulosa/Capnocytophaga sp. CM59]	45242	1
ref_mOTU_v31_06313	Capnocytophaga haemolytica	45243	1
ref_mOTU_v31_06321	Lachnoanaerobaculum saburreum [Lachnoanaerobaculum saburreum/Lachnospiraceae bacterium oral taxon 082]	467210	2
ref_mOTU_v31_06367	Corynebacterium matruchotii	43768	7
ref_mOTU_v31_06382	Selenomonas noxia	135083	1
ref_mOTU_v31_06403	Selenomonas flueggei	135080	2
ref_mOTU_v31_06458	Prevotella marshii	189722	1
ref_mOTU_v31_06466	[Eubacterium] sulci	143393	3
ref_mOTU_v31_06543	Corynebacterium durum	61592	7
ref_mOTU_v31_07011	Prevotella shahii	228603	1
ref_mOTU_v31_07446	Actinobaculum sp. oral taxon 183	712888	4
ref_mOTU_v31_07448	Porphyromonas sp. oral taxon 278	712437	11
ref_mOTU_v31_08897	Ottowia sp. oral taxon 894	1658672	1
ref_mOTU_v31_11465	Porphyromonas endodontalis	28124	3
ref_mOTU_v31_11466	Capnocytophaga gingivalis	1017	3
ref_mOTU_v31_11495	Gemella morbillorum	29391	2
ref_mOTU_v31_11549	Bacteroidetes oral taxon 274	652708	2
ref_mOTU_v31_11576	Oribacterium sinus	237576	1
ref_mOTU_v31_11628	Granulicatella elegans	137732	25
ref_mOTU_v31_11629	Alloprevotella tannerae	76122	5
ref_mOTU_v31_11632	Kingella oralis	505	2
ref_mOTU_v31_11823	Megasphaera micronuciformis	187326	4
ref_mOTU_v31_11824	Capnocytophaga sp. oral taxon 329	706435	1
ref_mOTU_v31_11836	Tannerella sp. oral taxon HOT-286	712710	1
ref_mOTU_v31_11939	Stomatobaculum longum	796942	1
ref_mOTU_v31_12053	Kingella denitrificans	502	3
ref_mOTU_v31_12220	Prevotella pallens	60133	8
meta_mOTU_v31_12274	Flavobacteriaceae species incertae sedis	NA	4
meta_mOTU_v31_12278	Prevotellaceae species incertae sedis	NA	19
meta_mOTU_v31_12290	Mogibacterium species incertae sedis	NA	1
meta_mOTU_v31_12302	Porphyromonadaceae species incertae sedis	NA	2
meta_mOTU_v31_12312	Bacteroidales species incertae sedis	NA	5
meta_mOTU_v31_12337	Peptostreptococcaceae species incertae sedis	NA	1
meta_mOTU_v31_12359	Bacteroidales species incertae sedis	NA	8
meta_mOTU_v31_12360	Leptotrichia species incertae sedis	NA	2
meta_mOTU_v31_12387	Solobacterium species incertae sedis	NA	1
meta_mOTU_v31_12392	Tannerella sp. oral taxon HOT-286	712710	2
meta_mOTU_v31_12409	Bacteria species incertae sedis	NA	1
