#Classification	S-6-POLPIL-B_bracken_P.kreport
k__Bacteria	432708
k__Bacteria|p__Proteobacteria	332854
k__Bacteria|p__Actinobacteria	54365
k__Bacteria|p__Cyanobacteria	91
k__Bacteria|p__Firmicutes	3508
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Acidobacteria	32150
k__Bacteria|p__Bacteroidetes	7909
k__Bacteria|p__Planctomycetes	1488
k__Bacteria|p__Verrucomicrobia	307
k__Bacteria|p__Chlamydiae	14
k__Bacteria|p__Candidatus_Saccharibacteria	13
k__Eukaryota	3381
k__Eukaryota|k__Fungi	1356
k__Eukaryota|k__Fungi|p__Ascomycota	939
k__Eukaryota|k__Fungi|p__Basidiomycota	416
k__Eukaryota|k__Metazoa	1048
k__Eukaryota|k__Metazoa|p__Chordata	1048
k__Eukaryota|k__Viridiplantae	969
k__Eukaryota|k__Viridiplantae|p__Streptophyta	958
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	10
k__Eukaryota|p__Euglenozoa	7
