#Classification	SRR5091513_bracken_P.kreport
k__Bacteria	9856168
k__Bacteria|p__Bacteroidetes	7751581
k__Bacteria|p__Firmicutes	1851818
k__Bacteria|p__Actinobacteria	4867
k__Bacteria|p__Proteobacteria	246732
k__Bacteria|p__Synergistetes	1031
k__Bacteria|p__Verrucomicrobia	90
k__Bacteria|p__Spirochaetes	43
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	257
k__Eukaryota|k__Viridiplantae	257
k__Eukaryota|k__Viridiplantae|p__Streptophyta	257
k__Archaea	39
k__Archaea|p__Euryarchaeota	39
k__Viruses	2855
k__Viruses|k__Heunggongvirae	2855
k__Viruses|k__Heunggongvirae|p__Uroviricota	2855
