#Classification	S-4-DICUND-B_bracken_C.kreport
k__Bacteria	7138
k__Bacteria|p__Actinobacteria	4839
k__Bacteria|p__Actinobacteria|c__Actinomycetia	4839
k__Bacteria|p__Proteobacteria	2034
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	667
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1294
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	72
k__Bacteria|p__Acidobacteria	233
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	233
k__Bacteria|p__Bacteroidetes	19
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	19
k__Bacteria|p__Planctomycetes	11
k__Bacteria|p__Planctomycetes|c__Planctomycetia	11
k__Eukaryota	295
k__Eukaryota|k__Viridiplantae	170
k__Eukaryota|k__Viridiplantae|p__Streptophyta	170
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	129
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	41
k__Eukaryota|k__Metazoa	124
k__Eukaryota|k__Metazoa|p__Chordata	124
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	124
