#Classification	S-20-POLPIL-G_bracken_C.kreport
k__Bacteria	8176
k__Bacteria|p__Proteobacteria	7712
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	5171
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2540
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1
k__Bacteria|p__Actinobacteria	405
k__Bacteria|p__Actinobacteria|c__Actinomycetia	405
k__Bacteria|p__Acidobacteria	34
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	34
k__Bacteria|p__Bacteroidetes	13
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	13
k__Bacteria|p__Planctomycetes	10
k__Bacteria|p__Planctomycetes|c__Planctomycetia	10
k__Eukaryota	2881
k__Eukaryota|k__Viridiplantae	1876
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1876
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1860
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	16
k__Eukaryota|k__Metazoa	980
k__Eukaryota|k__Metazoa|p__Chordata	980
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	980
k__Eukaryota|k__Fungi	24
k__Eukaryota|k__Fungi|p__Ascomycota	24
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	24
