feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acidaminococcaceae	Group	eczema	-0.000469657837742555	0.000872465049860499	70	40	0.592119873471819	0.951435501623754
Acidothermaceae	Group	eczema	4.11663125751778e-05	9.38220623090757e-05	70	9	0.662219120953684	0.951435501623754
Aerococcaceae	Group	eczema	-0.00228314066000424	0.00473172024058628	70	63	0.630987627142802	0.951435501623754
Aeromonadaceae	Group	eczema	0.00161168698685681	0.00195698731816309	70	67	0.413071458180168	0.951435501623754
Akkermansiaceae	Group	eczema	-0.00121992730512134	0.00135111611422877	70	57	0.369764529240293	0.951435501623754
Alcanivoracaceae	Group	eczema	-0.000368811822345732	0.000545736884813146	70	44	0.501456267833816	0.951435501623754
Alicyclobacillaceae	Group	eczema	-0.000610422992675653	0.000867643967287355	70	60	0.4841208156002	0.951435501623754
Alteromonadaceae	Group	eczema	0.00024262048774573	0.000243392059412119	70	14	0.322381120853016	0.951435501623754
Aquificaceae	Group	eczema	-0.000120667458764134	0.000210001492888365	70	16	0.567456083519051	0.951435501623754
Atopobiaceae	Group	eczema	0.000597052141568177	0.000845905374991314	70	52	0.482714720220036	0.951435501623754
Aurantimonadaceae	Group	eczema	0.00101270588897992	0.00137867183905565	70	55	0.465138075220412	0.951435501623754
Azospirillaceae	Group	eczema	-0.00550295010263538	0.00916707096843713	70	68	0.550304845547463	0.951435501623754
Bacillaceae	Group	eczema	-0.00317734738590776	0.0057806686497618	70	70	0.584359877305142	0.951435501623754
Beutenbergiaceae	Group	eczema	-0.000190565797104914	0.000400018176706041	70	10	0.635321749734224	0.951435501623754
Bradyrhizobiaceae	Group	eczema	0.00255370117614734	0.00196621528915268	70	63	0.198402978925325	0.951435501623754
Brevibacteriaceae	Group	eczema	0.00270788880442092	0.00315275461351043	70	69	0.39341543763052	0.951435501623754
Brucellaceae	Group	eczema	-0.000423240999027398	0.00133923644094868	70	53	0.752946554656731	0.951435501623754
Burkholderiaceae	Group	eczema	0.0126086411814592	0.0173994103421873	70	70	0.47114734212778	0.951435501623754
Calotrichaceae	Group	eczema	0.000389220613206775	0.000293977478607964	70	15	0.189942787829231	0.951435501623754
Campylobacteraceae	Group	eczema	0.000820571660107415	0.00100173310488355	70	58	0.415561430528489	0.951435501623754
Carnobacteriaceae	Group	eczema	0.00115688505107928	0.00144061970538624	70	63	0.424745730797825	0.951435501623754
Caulobacteraceae	Group	eczema	0.0020054250760353	0.00297693907241159	70	69	0.502815113446123	0.951435501623754
Cellulomonadaceae	Group	eczema	-0.000430437256346861	0.000451535966340553	70	28	0.343827929950281	0.951435501623754
Cellvibrionaceae	Group	eczema	-0.000173564835468255	0.000324902588424346	70	18	0.59494142385547	0.951435501623754
Chelatococcaceae	Group	eczema	0.000545415694616151	0.00045141930842524	70	21	0.231146135059311	0.951435501623754
Chitinophagaceae	Group	eczema	-0.000233509899368475	0.000489932852777979	70	17	0.635163532501143	0.951435501623754
Chloroflexaceae	Group	eczema	-0.000139936043054473	0.000271252181349078	70	20	0.607605279584609	0.951435501623754
Christensenellaceae	Group	eczema	-0.00040944907588783	0.000306078692531605	70	8	0.185443037712737	0.951435501623754
Chromatiaceae	Group	eczema	0.000358920165137341	0.000801267728025209	70	51	0.655620129878584	0.951435501623754
Chromobacteriaceae	Group	eczema	-0.00018992090033674	0.000526924414419641	70	64	0.719640617425268	0.951435501623754
Chroococcaceae	Group	eczema	-0.000154059456558664	0.000418436865190582	70	12	0.713883805229595	0.951435501623754
Chroococcidiopsidaceae	Group	eczema	-0.00102185067570989	0.00110137164917493	70	50	0.356793823968285	0.951435501623754
Clostridiaceae	Group	eczema	-0.00191319498034746	0.000991099214687827	70	41	0.0577316584434817	0.951435501623754
Clostridiales.Family.XVII..Incertae.Sedis	Group	eczema	-0.000966328609946785	0.000645658751137505	70	23	0.139110292755437	0.951435501623754
Coleofasciculaceae	Group	eczema	-0.000272384542093773	0.000288360205116966	70	8	0.348208335921111	0.951435501623754
Comamonadaceae	Group	eczema	0.00261334714529574	0.00593760514758034	70	70	0.661235277780452	0.951435501623754
Conexibacteraceae	Group	eczema	-0.000109604268174675	0.000132607032819639	70	13	0.411391867071951	0.951435501623754
Coriobacteriaceae	Group	eczema	-0.00273542057935468	0.00233983225443303	70	64	0.24645850914374	0.951435501623754
Corynebacteriaceae	Group	eczema	0.0552839725988498	0.0653027208880789	70	70	0.400198841779136	0.951435501623754
Cytophagaceae	Group	eczema	-0.000407870165401193	0.000484512317211188	70	30	0.402841894165994	0.951435501623754
Deinococcaceae	Group	eczema	0.00046415354862553	0.00152523904623087	70	63	0.76181705119533	0.951435501623754
Dermabacteraceae	Group	eczema	-0.00223948381462352	0.00408090263430435	70	64	0.584959562854845	0.951435501623754
Dermacoccaceae	Group	eczema	0.00545828838385498	0.00471756106646055	70	70	0.251314580198864	0.951435501623754
Desulfovibrionaceae	Group	eczema	0.000386109817600924	0.000311677331895519	70	43	0.219674113883966	0.951435501623754
Devosiaceae	Group	eczema	-0.000700930068557423	0.000369370684661472	70	33	0.0619907165186965	0.951435501623754
Dietziaceae	Group	eczema	-0.000510591471918384	0.00098357304874571	70	64	0.605363251386171	0.951435501623754
Dysgonomonadaceae	Group	eczema	0.000319625933030665	0.000185222498723256	70	12	0.0889554531475815	0.951435501623754
Ectothiorhodospiraceae	Group	eczema	0.00156214655277694	0.00101220758910329	70	67	0.12739772111566	0.951435501623754
Eggerthellaceae	Group	eczema	-0.000697916724485204	0.00172239409647862	70	60	0.686601374178672	0.951435501623754
Enterobacteriaceae	Group	eczema	-0.0808455165400634	0.0494051913668487	70	69	0.106381190802967	0.951435501623754
Erwiniaceae	Group	eczema	0.000847990271875929	0.00296182673374788	70	65	0.775513843640507	0.951435501623754
Erysipelotrichaceae	Group	eczema	-0.000799591474542431	0.000995246976249995	70	44	0.424537225433243	0.951435501623754
Erythrobacteraceae	Group	eczema	-0.000222145231470976	0.000750694660274181	70	59	0.768193330927718	0.951435501623754
Eubacteriaceae	Group	eczema	7.35440866243185e-05	0.000255340502996845	70	19	0.774204741852083	0.951435501623754
Eubacteriales.Family.XIII..Incertae.Sedis	Group	eczema	0.000134612798356978	0.000313232722859271	70	23	0.668733871148437	0.951435501623754
Flavobacteriaceae	Group	eczema	0.00204614715380313	0.00153045621775105	70	59	0.185693777832173	0.951435501623754
Fusobacteriaceae	Group	eczema	0.00767003157610251	0.00739434456279624	70	47	0.303278316247723	0.951435501623754
Geodermatophilaceae	Group	eczema	0.000428968180616261	0.00169161636496082	70	60	0.800581494987291	0.951435501623754
Gordoniaceae	Group	eczema	-0.000513920912252484	0.00204455217368884	70	67	0.802292992774271	0.951435501623754
Halieaceae	Group	eczema	-0.000637010764202219	0.000271246465299209	70	23	0.0217659478301908	0.951435501623754
Halomonadaceae	Group	eczema	0.00388713393166369	0.00293027163934277	70	69	0.189097532917524	0.951435501623754
Helicobacteraceae	Group	eczema	0.000329988840784819	0.000184041172095888	70	9	0.0774174538129033	0.951435501623754
Hydrogenophilaceae	Group	eczema	-0.00231338444164838	0.00382713974966029	70	68	0.547544018686109	0.951435501623754
Hyphomicrobiaceae	Group	eczema	-0.000129807965933415	0.000268554510942624	70	22	0.630394348395314	0.951435501623754
Iamiaceae	Group	eczema	0.000300268357209548	0.000377419924350345	70	29	0.429043709034211	0.951435501623754
Idiomarinaceae	Group	eczema	-0.000135623135131786	0.00019217458776227	70	8	0.482767601799058	0.951435501623754
Immundisolibacteraceae	Group	eczema	8.09166352640762e-05	0.000329326328717289	70	44	0.806651838333183	0.951435501623754
Intrasporangiaceae	Group	eczema	0.00118761586854302	0.00150130556628166	70	66	0.43166216644309	0.951435501623754
Jonesiaceae	Group	eczema	7.28895580363404e-05	0.000244288077469883	70	11	0.766326500086347	0.951435501623754
Kytococcaceae	Group	eczema	-0.000796335315418458	0.00249212595693138	70	64	0.750296289396275	0.951435501623754
Lachnospiraceae	Group	eczema	-0.00470944871701185	0.0049187196423128	70	66	0.34172984566839	0.951435501623754
Lacipirellulaceae	Group	eczema	0.000130228480509175	9.24539713806554e-05	70	8	0.163516557387721	0.951435501623754
Lactobacillaceae	Group	eczema	0.00849322977547331	0.00572702989818057	70	69	0.142692474833371	0.951435501623754
Lawsonellaceae	Group	eczema	-0.000472840940854613	0.00135238504648288	70	61	0.727693278084916	0.951435501623754
Legionellaceae	Group	eczema	0.000253640934142728	0.000170510046351174	70	8	0.14149427210504	0.951435501623754
Leptolyngbyaceae	Group	eczema	0.000227429035367521	0.000498681992233886	70	24	0.649799861056857	0.951435501623754
Leptotrichiaceae	Group	eczema	0.00205961076761698	0.00105471447608708	70	52	0.0549647359717626	0.951435501623754
Listeriaceae	Group	eczema	0.00492690533541414	0.00259549930370107	70	67	0.0619081564463577	0.951435501623754
Marinobacteraceae	Group	eczema	0.000221147289370581	0.000489703677651801	70	25	0.652998495427011	0.951435501623754
Methylobacteriaceae	Group	eczema	0.00193108541709436	0.00290700730246144	70	69	0.508753361943305	0.951435501623754
Methylococcaceae	Group	eczema	-0.000128607449084016	0.000363523334778845	70	32	0.724597999297135	0.951435501623754
Methylophilaceae	Group	eczema	6.87386195947613e-05	0.000143378446627422	70	16	0.633177563770087	0.951435501623754
Microbacteriaceae	Group	eczema	0.00107716067581215	0.0022871709790916	70	69	0.639178325470584	0.951435501623754
Micrococcaceae	Group	eczema	0.0168386996870334	0.0106059076277669	70	70	0.116999963839683	0.951435501623754
Micromonosporaceae	Group	eczema	0.00217495590582168	0.000992824801609696	70	30	0.0319067511746837	0.951435501623754
Morganellaceae	Group	eczema	-0.00729607403674279	0.0156225365894298	70	66	0.641976876978986	0.951435501623754
Muribaculaceae	Group	eczema	-0.000292776824461473	0.000274236381596475	70	8	0.289473181659954	0.951435501623754
Mycobacteriaceae	Group	eczema	0.0046609548050203	0.00510288373973741	70	70	0.364261430721471	0.951435501623754
Mycoplasmataceae	Group	eczema	0.000950799917789276	0.00107716447046281	70	19	0.380514818052735	0.951435501623754
Myxococcaceae	Group	eczema	0.00160073863043971	0.0011005980497616	70	8	0.150428656611385	0.951435501623754
Nakamurellaceae	Group	eczema	0.000506128917387066	0.000925932490201919	70	30	0.586432243802598	0.951435501623754
Nanopelagicaceae	Group	eczema	-0.000148091986218492	0.000157161639950818	70	20	0.349379455701986	0.951435501623754
Nanosynbacteraceae	Group	eczema	0.000206515576640503	0.000621389426131717	70	20	0.740651205055777	0.951435501623754
Nitrosomonadaceae	Group	eczema	-0.00034644431692265	0.000183664297483312	70	17	0.0635267090540934	0.951435501623754
Nitrospiraceae	Group	eczema	0.000639348899389174	0.000289065959917235	70	14	0.0303459252068444	0.951435501623754
Nocardiaceae	Group	eczema	-0.00134172199282216	0.00377843239773417	70	67	0.723613602384145	0.951435501623754
Nocardioidaceae	Group	eczema	0.00106012745670546	0.0014751795528526	70	67	0.47482310143322	0.951435501623754
Nostocaceae	Group	eczema	-0.000181599593753158	0.000208609196090282	70	9	0.387076187899392	0.951435501623754
Oceanospirillaceae	Group	eczema	-0.00035109056717275	0.000317324602434358	70	21	0.272448691794166	0.951435501623754
Ornithinimicrobiaceae	Group	eczema	0.00074051157414127	0.00257123465961341	70	67	0.774223905433216	0.951435501623754
Oscillospiraceae	Group	eczema	-0.00629200570436922	0.00631203892062976	70	68	0.322382920007321	0.951435501623754
Oxalobacteraceae	Group	eczema	0.00794316797768552	0.00653462539801857	70	70	0.228359511611591	0.951435501623754
Paenibacillaceae	Group	eczema	-0.00205972538334672	0.0010855793087534	70	47	0.0620284974495242	0.951435501623754
Parachlamydiaceae	Group	eczema	0.000259752574304688	0.000594361972100531	70	61	0.663476079479896	0.951435501623754
Pasteurellaceae	Group	eczema	-0.00916908444505639	0.0279801313168877	70	68	0.744145432205038	0.951435501623754
Peptoniphilaceae	Group	eczema	-0.00212877266307769	0.00334216532634856	70	64	0.526299796895519	0.951435501623754
Peptostreptococcaceae	Group	eczema	-0.000327256474920921	0.000683796609356244	70	36	0.633767407313756	0.951435501623754
Phyllobacteriaceae	Group	eczema	0.000956222723316333	0.000605621968704305	70	57	0.118997567834777	0.951435501623754
Planctomycetaceae	Group	eczema	-0.000151837222640558	0.000393630221203404	70	8	0.700896574523212	0.951435501623754
Porphyromonadaceae	Group	eczema	0.000932544766928476	0.00231462650186013	70	67	0.688291492646795	0.951435501623754
Prevotellaceae	Group	eczema	0.019001096669676	0.0181668872909634	70	70	0.299302056414769	0.951435501623754
Promicromonosporaceae	Group	eczema	-0.000591315476567942	0.000999920964196724	70	23	0.556238558040905	0.951435501623754
Propionibacteriaceae	Group	eczema	0.0218082485653839	0.0287707325185043	70	70	0.451069313176067	0.951435501623754
Pseudoalteromonadaceae	Group	eczema	0.000693899207666322	0.000830721881474777	70	13	0.406475994756329	0.951435501623754
Pseudomonadaceae	Group	eczema	0.112193592463365	0.0762562179438984	70	70	0.145830538868631	0.951435501623754
Rhizobiaceae	Group	eczema	0.00297108498020587	0.00415419825852594	70	70	0.476933592848069	0.951435501623754
Rhodanobacteraceae	Group	eczema	0.0014051966245505	0.00250242129463718	70	50	0.576279089338056	0.951435501623754
Rhodobacteraceae	Group	eczema	0.00961734362219711	0.00559692089644922	70	70	0.0902872471043566	0.951435501623754
Rhodocyclaceae	Group	eczema	0.000541882556796743	0.000734924608825934	70	59	0.463457853115944	0.951435501623754
Rhodospirillaceae	Group	eczema	0.000334058221346443	0.000228425085880461	70	21	0.148226996722742	0.951435501623754
Rhodothermaceae	Group	eczema	-0.000260306120662294	0.000368728219896109	70	17	0.48262680847038	0.951435501623754
Rikenellaceae	Group	eczema	-0.000730535504301884	0.00279371008785681	70	64	0.794502793471271	0.951435501623754
Roseiflexaceae	Group	eczema	-6.65594907249803e-05	8.96957609069397e-05	70	8	0.460607461862994	0.951435501623754
Roseobacteraceae	Group	eczema	0.000593240148022849	0.000620325042483627	70	24	0.342289392641764	0.951435501623754
Rubrobacteraceae	Group	eczema	0.00109723605667417	0.000526808481338278	70	43	0.0410330942849809	0.951435501623754
Sanguibacteraceae	Group	eczema	-9.92914175473564e-05	0.0003285610434984	70	16	0.763421376714313	0.951435501623754
Scytonemataceae	Group	eczema	-6.13505301899532e-05	0.000236863837458962	70	14	0.796408603601323	0.951435501623754
Selenomonadaceae	Group	eczema	-0.000619590605840095	0.000529679547269008	70	43	0.246186865122721	0.951435501623754
Shewanellaceae	Group	eczema	0.00113794243733922	0.0029251185865747	70	55	0.698473660097773	0.951435501623754
Sinobacteraceae	Group	eczema	0.00066692050072483	0.000808407476403348	70	63	0.412267301521488	0.951435501623754
Sphingobacteriaceae	Group	eczema	-0.000878780439019221	0.000812272622784686	70	56	0.283128183175571	0.951435501623754
Sphingomonadaceae	Group	eczema	0.00514887188494259	0.00593246647819641	70	69	0.388493994897154	0.951435501623754
Sphingosinicellaceae	Group	eczema	0.000318527495921292	0.00046836783689164	70	31	0.49876282301152	0.951435501623754
Spirosomaceae	Group	eczema	-0.000877849894177041	0.000530791054990586	70	15	0.102767056507915	0.951435501623754
Staphylococcaceae	Group	eczema	-0.092900482108166	0.084233966648189	70	70	0.27396453013886	0.951435501623754
Stappiaceae	Group	eczema	0.00242544973407895	0.00129336976438202	70	54	0.0650464017043688	0.951435501623754
