#Classification	S-15-POLJUN-B_bracken_P.kreport
k__Bacteria	45138
k__Bacteria|p__Proteobacteria	34456
k__Bacteria|p__Cyanobacteria	3050
k__Bacteria|p__Actinobacteria	4136
k__Bacteria|p__Firmicutes	2614
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	665
k__Bacteria|p__Bacteroidetes	176
k__Bacteria|p__Planctomycetes	33
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	912
k__Eukaryota|k__Metazoa	831
k__Eukaryota|k__Metazoa|p__Chordata	831
k__Eukaryota|k__Fungi	20
k__Eukaryota|k__Fungi|p__Basidiomycota	18
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	59
k__Eukaryota|k__Viridiplantae|p__Streptophyta	59
