#Classification	SRR5091515_bracken_P.kreport
k__Bacteria	949865
k__Bacteria|p__Firmicutes	618940
k__Bacteria|p__Actinobacteria	7602
k__Bacteria|p__Bacteroidetes	293745
k__Bacteria|p__Proteobacteria	27828
k__Bacteria|p__Verrucomicrobia	1745
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Synergistetes	2
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	108
k__Eukaryota|k__Viridiplantae	96
k__Eukaryota|k__Viridiplantae|p__Streptophyta	96
k__Eukaryota|k__Metazoa	11
k__Eukaryota|k__Metazoa|p__Chordata	11
k__Viruses	251
k__Viruses|k__Heunggongvirae	251
k__Viruses|k__Heunggongvirae|p__Uroviricota	251
