feature	Abiotrophia	Acidaminococcus	Acinetobacter	Actinomyces	Acutalibacter	Adlercreutzia	Aggregatibacter	Akkermansia	Alistipes	Alkalihalobacillus	Amedibacterium	Aminipila	Anaerobutyricum	Anaerococcus	Anaerostipes	Anaerotignum	Arachnia	Bacillus	Bacteroides	Barnesiella	Berryella	Bifidobacterium	Blautia	Bradyrhizobium	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Carnobacterium	Christensenella	Cloacibacillus	Cloacibacterium	Clostridioides	Clostridium	Collinsella	Coprobacter	Coprococcus	Corynebacterium	Cruoricaptor	Cryptobacterium	Cupriavidus	Cutibacterium	Cytobacillus	Dehalococcoides	Desulfovibrio	Dialister	Dolosigranulum	Duncaniella	Dysosmobacter	Eggerthella	Eikenella	Enterocloster	Enterococcus	Erysipelatoclostridium	Escherichia	Eubacterium	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalibaculum	Faecalicatena	Faecalitalea	Fannyhessea	Fastidiosipila	Filifactor	Finegoldia	Flavonifractor	Flintibacter	Fusobacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Haemophilus	Helcococcus	Hungatella	Intestinibaculum	Intestinimonas	Jeotgalibaca	Klebsiella	Komagataeibacter	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Latilactobacillus	Lautropia	Lawsonella	Leptotrichia	Leuconostoc	Ligilactobacillus	Limosilactobacillus	Longibaculum	Longicatena	Mageeibacillus	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Mesorhizobium	Methylobacterium	Methylorubrum	Minimicrobia	Mobiluncus	Mogibacterium	Monoglobus	Murdochiella	Muribaculum	Nanosynbacter	Ndongobacter	Neisseria	Niallia	Novisyntrophococcus	Odoribacter	Olsenella	Oscillibacter	Paeniclostridium	Pandoraea	Parabacteroides	Paraclostridium	Paraprevotella	Parolsenella	Parvimonas	Pauljensenia	Peptacetobacter	Peptoniphilus	Phascolarctobacterium	Phocaeicola	Phoenicibacter	Porphyromonas	Prevotella	Propionibacterium	Propionimicrobium	Pseudobutyrivibrio	Pseudomonas	Pusillimonas..ex.Kitahara.et.al..2021.	Ralstonia	Romboutsia	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	Sarcina	Schaalia	Sodaliphilus	Solibaculum	Sphingobium	Staphylococcus	Streptobacillus	Streptococcus	Sutterella	Treponema	Trueperella	Turicibacter	Turicimonas	Veillonella	Vescimonas	Weissella
NS34	0	0	0	23	8	5	0	25169	32892	1	63	0	1662	2743	6486	0	2	0	5594176	0	0	45718	7872	0	0	24	2	1422	0	338	0	0	7247	9791	159	0	7608	11	448	0	0	0	0	1	1	379	0	1	7431	7778	0	15310	3975	7544	225099	2680	183	554	31886	0	182	1744	0	54	27	1259	6120	4	4215	0	47	1158	65	8	19	2422	16	2344	0	0	0	0	3713	1335	706	5	2	0	0	0	0	0	771	5	0	0	0	522	291	87	13	364727	0	6	0	0	0	0	105	4	2975	0	0	0	0	5	0	11	20243	0	4100	2	0	169753	0	0	5	85	3	0	2080	20387	1895	0	555	1001	0	6	0	121	694	0	158	9033	3	23	5114	10954	0	2724	0	656	0	0	14	5862	0	92	23	10534	2	110	26577	0
NS36	0	0	2484	56	20	2692	0	1669454	346697	0	463	0	39632	268	170431	9	4	0	765654	84	32	86323	28936	0	8	13475	3	9477	0	1841	0	117	14965	299229	51885	4	7694	152	323	0	0	4	0	0	2036	0	0	1	40797	7091	0	16900	17722	2714	2479	2730	295	9950	297515	0	961	16663	29	50	0	244	113155	4005	19	0	37	324	144	8	0	11136	0	117586	7	0	30	11	22313	305	8748	0	0	742	1556	0	0	0	1	10	0	122	0	10267	3685	0	1562	35795	0	8	4	0	0	0	16	42	805324	25	0	24	0	8	0	0	16281	8	48550	0	0	266241	0	74	10	0	9	0	616	49322	488752	0	117	508	11	0	0	5679	53242	0	3620	21009	8	2	11424	75320	0	203	0	1857	0	6777	0	28426	22434	109	7	9629	0	6	6190	0
NS38	0	0	5991	327	36	4397	2	661731	73175	0	287	0	51470	0	811265	1	0	0	984845	23	0	623910	42755	0	2	2866	9	162	0	2695	7	541	5010	36564	71526	3	209217	13	0	0	0	2	0	0	3896	12848	0	23	16217	2748	0	21200	8775	1251	164744	1795	0	3123	383249	0	1290	2278	0	0	0	0	4950	6	14	0	35	2008	25	1330	0	12	0	4151	0	0	49	0	1536	17010	4508	0	21	0	321	0	0	30	0	0	2	8143	10	3687	2078	403	3718	10568	0	25	0	0	0	9	0	27	18617	52	146	22	0	0	0	8	11803	59	17833	0	0	118800	0	53	18	168	0	0	0	12	289231	0	0	33	0	4	0	3142	1197	0	1581	32942	82	0	22167	15790	0	5	0	1242	0	0	0	13067	11288	40	0	505	0	160	11437	0
NS39	0	0	2305	495	2	53	9	10736	51094	0	343	1	20021	0	35181	0	11	0	331600	16	11	168920	40735	0	11	876	0	2302	0	653	21	0	6858	19868	19369	6792	273201	0	0	0	0	0	0	0	0	32	0	5	18461	300	0	3055	814	445	31246	830	26	2245	2780359	3	168	1089	4	0	59	0	2499	10	60	43	196	57	77	6515	0	13	0	1091	0	0	11	6	376	16239	1695	0	0	12	268	0	3	0	0	0	0	18	0	1582	286	25	211	31103	52097	1	0	0	0	23	0	25	40	6	0	15	0	215	0	2	15570	0	6075	0	0	33248	0	0	4	4938	4	51	0	6633	252582	0	9	54508	0	1	0	93	380	0	477	19106	30	0	4933	2767	38	4	56	132	0	0	0	7127	10458	113	41	561	1	1694	12884	0
NS4	0	0	0	0	1	0	15	37	3571	0	237	0	14019	0	1060846	0	0	0	453219	10	0	140363	23609	0	28	21	0	742	0	0	0	0	1333	10492	8006	3	12474	0	0	0	0	0	0	0	0	0	0	0	2875	972	4	4883	786	1683	196058	399	0	614	1867517	0	128	84	0	0	148	11	3156	2	27	3	30	33	13	9944	0	2	9	287	0	0	4	0	1689	138141	2929	0	0	188	78	0	0	0	0	0	0	49	0	420	898	0	0	29472	0	3	0	0	0	0	0	0	35	0	0	0	0	0	0	2	2258	0	5716	0	0	10614	0	25	0	34	0	0	98	7	1419993	0	0	67	0	0	0	0	96	0	11	112596	15	0	8346	42	0	1	0	35	0	0	0	7704	35	65	0	550	0	633	2138	0
NS40	12	0	0	9	67	236	0	58	14256	0	378	0	100283	24	90777	0	11	9	89248	56	0	260417	74048	0	75	195	1	1772	0	214	0	0	2923	26377	64921	0	216793	2	0	0	0	0	0	0	1	5	0	0	72578	226	0	3509	3957	5381	24915	2435	13	1669	1964411	4	534	3509	48	6	48	53	8908	20	84	43	108	1987	0	97	0	79	121	1163	0	253	18	18	11259	4414	5346	0	207	19	1013	0	3	15	0	0	94	37924	20	2214	625	275	842	85975	21129	1837	0	0	0	51	3	78	382835	92	0	14	0	0	0	5	1726	6774	27288	0	0	75992	0	1334	26	112	0	28	72	1273	105486	6	117	47778	8	7	2	257	2772	8	150	65471	5	0	829	25698	17	52	0	29704	0	29	0	3867	300	209	0	76	0	39	125883	0
NS41	32	1	0	0	0	32	0	12118	96590	0	349	1	4613	0	17014	2	0	0	1011950	188	0	18127	11973	0	86	3668	0	47977	0	337	0	0	1942	16440	4826	0	979137	0	0	0	0	0	0	0	0	0	0	3	21978	102	0	4816	11183	548	4154	1410	0	74	2407077	0	245	3705	0	2	0	3	4186	7	0	2	0	109	0	253	0	51	94	2997	0	0	0	8	609	5262	2521	0	32	6	117	0	0	0	0	0	0	12968	2	814	261	607	138	19008	28423	441	0	0	0	4	0	0	13388	3	0	7	0	0	0	38	23303	419	17166	0	0	527927	0	5681	7	31	2	5	21	1853	523691	0	58	3128569	2	0	1	8375	10006	0	243	129752	3	0	5997	4706	0	4	0	1921	0	0	0	4100	8719	24	0	66	0	7	121060	0
NS46	0	1	3250	648	20	20665	0	7276	26602	1	154	67	46025	114	91548	0	0	0	315988	32	0	144748	62809	2	2	3424	0	15045	0	6259	0	158	11263	173443	644	26	752725	0	274	5	0	3	0	0	0	0	8	0	25065	19893	0	1505	3261	7200	79865	3375	156	3154	345785	1	12264	3965	0	2	152	161	4196	180	4	0	78	2370	148	33	2	217	162	1504	0	0	21	9	2329	7362	4615	3	9	3305	446	9	2	45	3	0	0	48	12	2787	7885	71	1145	112024	0	13	12	0	0	0	3	174	17936	0	0	5	11	1	0	4	4749	15	9245	0	0	15724	0	446	0	58	2	0	137	17	200162	0	158	1522	0	0	3	0	1898	9	1444	43674	111	0	34732	40011	0	25	0	306	164	4720	0	6397	0	145	25	36801	0	125	17083	0
NS51	11	0	0	101	4	74	0	11	482	0	483	0	201425	437	1072600	1	10	5	16665	1	331	506690	217688	194	120	11	0	336	0	107	0	0	1411	337439	3254	0	62322	77	150	0	21	0	0	0	20	0	0	0	5434	1055	3	1857	3988	15640	130057	1082	1131	350	1276347	0	2033	1217	29	2	0	509	3379	214	458	4	159	25	114	157	2	3689	11	190	5	0	15	6	2781	3040	4453	56	220	5577	608	1	0	0	2	0	0	19	101	95	154	7	211	735463	1	0	4342	0	62	0	14	16	12033	22	0	0	3	3	8	29	1	8	2056	9	5	3004	0	99	295	7	0	100517	985	790	37176	0	220	433	13	4	1	94	178	2417	7054	200228	257	216	8778	1116	72350	125	0	358	0	16	0	27733	0	86	0	2691	0	595	5627	0
NS55	0	0	0	736	3	990	0	414	745	0	409	0	79479	0	213988	0	2	7	70030	0	0	37116	101267	0	58	33	2	31	0	377	0	0	5845	72715	13813	0	139121	2	0	0	0	2	0	0	0	0	0	0	2449	7839	0	2435	1474	1162	30308	1033	0	73390	662589	0	356	4658	0	0	32	40	1788	9	0	0	46	1048	59	8	0	16	3	120	0	0	47	90	2280	20939	1803	6	0	96	1093	0	0	0	0	0	1	15	11	67487	53	54	189	277316	0	11	0	0	0	45	0	6	3881	14	0	7	0	0	0	0	947	2	500	6	0	687	0	0	7	0	1	3	9	11	62900	0	0	62	0	1	10	0	392	0	3452	310743	5	0	3102	2507	0	14	0	24	0	0	0	7383	0	50	12	835	0	62	2251	0
