#Classification	NS27_bracken_P.kreport
k__Bacteria	3139083
k__Bacteria|p__Firmicutes	2123727
k__Bacteria|p__Actinobacteria	348701
k__Bacteria|p__Bacteroidetes	646012
k__Bacteria|p__Verrucomicrobia	18206
k__Bacteria|p__Proteobacteria	2421
k__Bacteria|p__Spirochaetes	3
k__Bacteria|p__Fusobacteria	10
k__Eukaryota	8
k__Eukaryota|k__Viridiplantae	8
k__Eukaryota|k__Viridiplantae|p__Streptophyta	8
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
k__Viruses	5642
k__Viruses|k__Heunggongvirae	5642
k__Viruses|k__Heunggongvirae|p__Uroviricota	5642
