#Classification	GQ18_bracken_P.kreport
k__Bacteria	3507867
k__Bacteria|p__Firmicutes	2290785
k__Bacteria|p__Actinobacteria	927749
k__Bacteria|p__Tenericutes	69
k__Bacteria|p__Bacteroidetes	118827
k__Bacteria|p__Proteobacteria	116193
k__Bacteria|p__Fusobacteria	54076
k__Bacteria|p__Candidatus_Saccharibacteria	162
k__Bacteria|p__Spirochaetes	2
k__Bacteria|p__Synergistetes	1
k__Eukaryota	3026
k__Eukaryota|k__Metazoa	3020
k__Eukaryota|k__Metazoa|p__Chordata	3020
k__Eukaryota|k__Viridiplantae	6
k__Eukaryota|k__Viridiplantae|p__Streptophyta	6
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
