#Classification	GQ39_bracken_P.kreport
k__Bacteria	27183365
k__Bacteria|p__Bacteroidetes	17622734
k__Bacteria|p__Firmicutes	8140121
k__Bacteria|p__Actinobacteria	1133807
k__Bacteria|p__Proteobacteria	286277
k__Bacteria|p__Spirochaetes	187
k__Bacteria|p__Candidatus_Saccharibacteria	125
k__Bacteria|p__Verrucomicrobia	81
k__Bacteria|p__Fusobacteria	14
k__Bacteria|p__Synergistetes	16
k__Eukaryota	1732
k__Eukaryota|k__Fungi	1535
k__Eukaryota|k__Fungi|p__Ascomycota	1535
k__Eukaryota|k__Viridiplantae	196
k__Eukaryota|k__Viridiplantae|p__Streptophyta	196
k__Viruses	13547
k__Viruses|k__Heunggongvirae	13547
k__Viruses|k__Heunggongvirae|p__Uroviricota	13547
