#Classification	S-12-POLJUN-B_bracken_P.kreport
k__Bacteria	1129073
k__Bacteria|p__Proteobacteria	692002
k__Bacteria|p__Cyanobacteria	211676
k__Bacteria|p__Actinobacteria	178123
k__Bacteria|p__Firmicutes	2629
k__Bacteria|p__Armatimonadetes	127
k__Bacteria|p__Chloroflexi	67
k__Bacteria|p__Deinococcus-Thermus	41
k__Bacteria|p__Acidobacteria	19662
k__Bacteria|p__Bacteroidetes	16547
k__Bacteria|p__Rhodothermaeota	58
k__Bacteria|p__Gemmatimonadetes	298
k__Bacteria|p__Planctomycetes	6304
k__Bacteria|p__Verrucomicrobia	945
k__Bacteria|p__Chlamydiae	86
k__Bacteria|p__Kiritimatiellaeota	231
k__Bacteria|p__Candidatus_Saccharibacteria	23
k__Bacteria|p__Spirochaetes	62
k__Bacteria|p__Nitrospirae	2
k__Bacteria|p__Fusobacteria	147
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Deferribacteres	5
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Synergistetes	26
k__Bacteria|p__Thermotogae	1
k__Eukaryota	8488
k__Eukaryota|k__Metazoa	2886
k__Eukaryota|k__Metazoa|p__Chordata	2886
k__Eukaryota|k__Fungi	2868
k__Eukaryota|k__Fungi|p__Ascomycota	2193
k__Eukaryota|k__Fungi|p__Basidiomycota	674
k__Eukaryota|k__Viridiplantae	2708
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2634
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	73
k__Eukaryota|p__Apicomplexa	17
k__Eukaryota|p__Bacillariophyta	3
k__Eukaryota|p__Euglenozoa	5
k__Archaea	19
k__Archaea|p__Euryarchaeota	19
k__Viruses	5
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
