#Classification	SRR5091601_bracken_P.kreport
k__Bacteria	9817962
k__Bacteria|p__Bacteroidetes	8023228
k__Bacteria|p__Firmicutes	387246
k__Bacteria|p__Actinobacteria	10176
k__Bacteria|p__Verrucomicrobia	388903
k__Bacteria|p__Proteobacteria	1008311
k__Bacteria|p__Synergistetes	93
k__Bacteria|p__Fusobacteria	3
k__Eukaryota	131
k__Eukaryota|k__Fungi	123
k__Eukaryota|k__Fungi|p__Ascomycota	123
k__Eukaryota|k__Viridiplantae	8
k__Eukaryota|k__Viridiplantae|p__Streptophyta	8
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
k__Viruses	55
k__Viruses|k__Heunggongvirae	55
k__Viruses|k__Heunggongvirae|p__Uroviricota	54
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
