#Classification	S-5-DICUND-G_bracken_C.kreport
k__Bacteria	216080
k__Bacteria|p__Proteobacteria	166068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	114022
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	37940
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	13766
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	308
k__Bacteria|p__Proteobacteria|c__Oligoflexia	29
k__Bacteria|p__Actinobacteria	38536
k__Bacteria|p__Actinobacteria|c__Actinomycetia	34889
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2701
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	58
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	886
k__Bacteria|p__Firmicutes	3635
k__Bacteria|p__Firmicutes|c__Bacilli	3605
k__Bacteria|p__Firmicutes|c__Clostridia	29
k__Bacteria|p__Armatimonadetes	8
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	8
k__Bacteria|p__Acidobacteria	6531
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	6531
k__Bacteria|p__Bacteroidetes	825
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	778
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	34
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	7
k__Bacteria|p__Bacteroidetes|c__Cytophagia	6
k__Bacteria|p__Planctomycetes	423
k__Bacteria|p__Planctomycetes|c__Planctomycetia	415
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	8
k__Bacteria|p__Verrucomicrobia	36
k__Bacteria|p__Verrucomicrobia|c__Opitutae	9
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	27
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Chlamydiae|c__Chlamydiia	7
k__Bacteria|c__Candidatus_Babeliae	6
k__Eukaryota	14937
k__Eukaryota|k__Viridiplantae	12973
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12971
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	12606
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	364
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	2
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	2
k__Eukaryota|k__Metazoa	1647
k__Eukaryota|k__Metazoa|p__Chordata	1647
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1647
k__Eukaryota|k__Fungi	313
k__Eukaryota|k__Fungi|p__Ascomycota	265
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	92
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	68
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	29
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	75
k__Eukaryota|k__Fungi|p__Basidiomycota	47
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	47
k__Eukaryota|p__Euglenozoa	3
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	3
k__Eukaryota|p__Apicomplexa	1
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	1
