#Classification	S-5-DICUND-G_bracken_O.kreport
k__Bacteria	322183
k__Bacteria|p__Proteobacteria	164493
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	112804
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	109807
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	468
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2440
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	60
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	37729
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	17031
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	11844
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	6779
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2047
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	12
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	13626
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	13305
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	316
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	4
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	304
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	304
k__Bacteria|p__Proteobacteria|c__Oligoflexia	28
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	8
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	20
k__Bacteria|p__Cyanobacteria	110291
k__Bacteria|p__Cyanobacteria|o__Nostocales	109950
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	104
k__Bacteria|p__Cyanobacteria|o__Chroococcales	2
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	227
k__Bacteria|p__Cyanobacteria|o__Synechococcales	6
k__Bacteria|p__Actinobacteria	36739
k__Bacteria|p__Actinobacteria|c__Actinomycetia	33150
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1903
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	29704
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	847
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	106
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	47
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	452
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	13
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	51
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	14
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	5
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2652
