#Classification	SRR5091567_bracken_P.kreport
k__Bacteria	10914230
k__Bacteria|p__Bacteroidetes	5882307
k__Bacteria|p__Chlorobi	28
k__Bacteria|p__Gemmatimonadetes	2
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Firmicutes	4459432
k__Bacteria|p__Actinobacteria	323676
k__Bacteria|p__Cyanobacteria	23
k__Bacteria|p__Chloroflexi	13
k__Bacteria|p__Tenericutes	11
k__Bacteria|p__Deinococcus-Thermus	7
k__Bacteria|p__Proteobacteria	166173
k__Bacteria|p__Verrucomicrobia	80949
k__Bacteria|p__Planctomycetes	6
k__Bacteria|p__Kiritimatiellaeota	2
k__Bacteria|p__Fusobacteria	1228
k__Bacteria|p__Spirochaetes	157
k__Bacteria|p__Candidatus_Saccharibacteria	152
k__Bacteria|p__Synergistetes	43
k__Bacteria|p__Acidobacteria	10
k__Bacteria|p__Thermotogae	4
k__Bacteria|p__Nitrospirae	2
k__Eukaryota	952
k__Eukaryota|k__Fungi	347
k__Eukaryota|k__Fungi|p__Ascomycota	340
k__Eukaryota|k__Fungi|p__Basidiomycota	6
k__Eukaryota|k__Metazoa	183
k__Eukaryota|k__Metazoa|p__Chordata	183
k__Eukaryota|k__Viridiplantae	412
k__Eukaryota|k__Viridiplantae|p__Streptophyta	411
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|p__Apicomplexa	6
k__Eukaryota|p__Euglenozoa	2
k__Archaea	58
k__Archaea|p__Euryarchaeota	56
k__Archaea|p__Thaumarchaeota	1
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	13475
k__Viruses|k__Heunggongvirae	13474
k__Viruses|k__Heunggongvirae|p__Uroviricota	13474
k__Viruses|k__Shotokuvirae	1
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	1
