feature	Abiotrophia	Abyssicoccus	Acetobacter	Achromobacter	Acidaminococcus	Acidipropionibacterium	Acidithiobacillus	Acidothermus	Acidovorax	Acinetobacter	Actinomyces	Actinoplanes	Actinotignum	Adlercreutzia	Aequoribacter	Aeribacillus	Aerococcus	Aeromicrobium	Aeromonas	Aerosticca	Aggregatibacter	Agrobacterium	Agrococcus	Akkermansia	Alcaligenes	Alcanivorax	Alicycliphilus	Alicyclobacillus	Alistipes	Alkalihalobacillus	Allosaccharopolyspora	Altererythrobacter	Aminobacter	Amycolatopsis	Anaerobutyricum	Anaerococcus	Anaerostipes	Anoxybacillus	Aquabacter	Aquabacterium	Arachnia	Arsenicicoccus	Arthrobacter	Asticcacaulis	Atlantibacter	Atopobium	Aureimonas	Azoarcus	Azorhizobium	Azospira	Azospirillum	Bacillus	Bacteroides	Bdellovibrio	Bergeyella	Bifidobacterium	Blastococcus	Blastomonas	Blautia	Bordetella	Bosea	Brachybacterium	Bradyrhizobium	Brevibacillus	Brevibacterium	Brevilactibacter	Brevundimonas	Brochothrix	Brucella	Buchnera	Burkholderia	Butyricimonas	Caballeronia	Caldibacillus	Calothrix	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Castellaniella	Caulobacter	Celeribacter	Cellulomonas	Cellulosimicrobium	Cellvibrio	Cereibacter	Chelatococcus	Chloracidobacterium	Chloroflexus	Chondrocystis	Christensenella	Chroococcidiopsis	Chryseobacterium	Citricoccus	Citrobacter	Clavibacter	Cloacibacillus	Cloacibacterium	Clostridioides	Clostridium	Collinsella	Comamonas	Conchiformibius	Conexibacter	Congregibacter	Coprococcus	Corynebacterium	Croceicoccus	Cronobacter	Cruoricaptor	Cupriavidus	Curtobacterium	Cutibacterium	Cytobacillus	Defluviicoccus	Deinococcus	Delftia	Denitratisoma	Dermabacter	Dermacoccus	Desulfovibrio	Devosia	Dialister	Diaphorobacter	Dietzia	Dolosigranulum	Duganella	Dysosmobacter	Effusibacillus	Eggerthella	Eikenella	Elizabethkingia	Empedobacter	Ensifer	Enterobacter	Enterocloster	Enterococcus	Epilithonimonas	Erwinia	Erysipelatoclostridium	Erythrobacter	Escherichia	Eubacterium	Ewingella	Exiguobacterium	Ezakiella	Faecalibacillus	Faecalibacterium	Faecalicatena	Faecalitalea	Fannyhessea	Fastidiosipila	Ferrovibrio	Filifactor	Finegoldia	Flaviflexus	Flavobacterium	Flavonifractor	Flintibacter	Fonsibacter	Frederiksenia	Fretibacterium	Friedmanniella	Frigidibacter	Frigoribacterium	Fusobacterium	Gardnerella	Gemella	Geobacillus	Geodermatophilus	Georhizobium	Gluconacetobacter	Glutamicibacter	Gordonia	Gordonibacter	Granulicatella	Haematobacter	Haemophilus	Halomonas	Halopseudomonas	Hankyongella	Herbaspirillum	Hydrocarboniclastica	Hydrogenobacter	Hydrogenophaga	Hydrogenophilus	Hylemonella	Hymenobacter	Iamia	Ideonella	Idiomarina	Immundisolibacter	Intestinimonas	Janibacter	Janthinobacterium	Jeotgalibaca	Jeotgalicoccus	Jonesia	Kaistella	Kerstersia	Kingella	Klebsiella	Kluyvera	Kocuria	Kosakonia	Kovacikia	Kurthia	Kyrpidia	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lachnospira	Lacrimispora	Lacticaseibacillus	Lactiplantibacillus	Lactobacillus	Lactococcus	Lancefieldella	Laribacter	Larkinella	Latilactobacillus	Lautropia	Lawsonella	Leclercia	Legionella	Lelliottia	Lentibacillus	Leptolyngbya	Leptotrichia	Leucobacter	Leuconostoc	Levilactobacillus	Ligilactobacillus	Limnobacter	Limnohabitans	Limosilactobacillus	Listeria	Loigolactobacillus	Luteimonas	Lysinibacillus	Lysobacter	Macrococcus	Mageeibacillus	Mammaliicoccus	Marinobacter	Marinobacterium	Marmoricola	Massilia	Massilistercora	Mediterraneibacter	Megamonas	Megasphaera	Meiothermus	Melaminivora	Mesorhizobium	Metabacillus	Methylibium	Methylobacterium	Methylococcus	Methylomonas	Methylophilus	Methylorubrum	Methyloversatilis	Microbacterium	Microcella	Micrococcus	Microlunatus	Micromonospora	Micropruina	Microvirga	Microvirgula	Miltoncostaea	Miniimonas	Minimicrobia	Mitsuaria	Mixta	Mobiluncus	Modestobacter	Mogibacterium	Monoglobus	Moraxella	Morganella	Murdochiella	Muribaculum	Mycobacterium	Mycobacteroides	Mycolicibacter	Mycolicibacterium	Mycoplasma	Myroides	Nakamurella	Nanosynbacter	Ndongobacter	Neisseria	Neobacillus	Neomicrococcus	Nitrosomonas	Nitrospira	Nitrospirillum	Niveispirillum	Nocardia	Nocardioides	Nocardiopsis	Nosocomiicoccus	Nostoc	Novosphingobium	Ochrobactrum	Odoribacter	Oligella	Olsenella	Ornithinimicrobium	Orrella	Oryzomicrobium	Oscillatoria	Oscillibacter	Ottowia	Paenibacillus	Paeniglutamicibacter	Pandoraea	Pannonibacter	Pantoea	Parabacteroides	Paraburkholderia	Parachlamydia	Paracoccus	Parageobacillus	Paraprevotella	Parvimonas	Pasteurella	Paucibacter	Pauljensenia	Pectobacterium	Pediococcus	Pedobacter	Peptoniphilus	Phascolarctobacterium	Phenylobacterium	Phocaeicola	Phytobacter	Planktophila	Planococcus	Plantibacter	Pluralibacter	Polaromonas	Polymorphum	Polynucleobacter	Porphyrobacter	Porphyromonas	Prevotella	Priestia	Propionibacterium	Propionimicrobium	Protaetiibacter	Proteiniphilum	Proteus	Providencia	Pseudarthrobacter	Pseudoalteromonas	Pseudoclavibacter	Pseudocnuella	Pseudomonas	Pseudonocardia	Pseudorhizobium	Pseudoxanthomonas	Psychrobacter	Pusillimonas..ex.Kitahara.et.al..2021.	Qipengyuania	Rahnella	Ralstonia	Raoultella	Rathayibacter	Rheinheimera	Rhizobacter	Rhizobium	Rhizorhabdus	Rhodobacter	Rhodococcus	Rhodoferax	Rhodopseudomonas	Rhodothermus	Roseburia	Roseiflexus	Roseococcus	Roseomonas	Rothia	Rouxiella	Rubrobacter	Rugosibacter	Ruminococcus	Ruthenibacterium	Saccharomonospora	Saccharothrix	Salinicoccus	Salmonella	Sandaracinobacter	Sanguibacter	Schaalia	Schlegelella	Scytonema	Selenomonas	Serinicoccus	Serpentinimonas	Serratia	Shewanella	Shinella	Simplicispira	Sinimarinibacterium	Sinorhizobium	Skermanella	Skermania	Sneathia	Solibaculum	Sphaerotilus	Sphingobacterium	Sphingobium	Sphingomonas	Sphingopyxis	Sphingosinithalassobacter	Spirosoma	Staphylococcus	Stenotrophomonas	Steroidobacter	Streptococcus	Streptomyces	Sulfuriferula	Sulfuritalea	Sulfuritortus	Sulfurivermis	Sutterella	Symbiobacterium	Tabrizicola	Tannerella	Tardibacter	Tatumella	Tepidimonas	Tessaracoccus	Thalassospira	Thauera	Thermaerobacter	Thermanaerovibrio	Thermoactinomyces	Thermobacillus	Thermobifida	Thermocrinis	Thermomonas	Thermus	Thioalkalivibrio	Thiopseudomonas	Tolumonas	Treponema	Tsukamurella	Tsuneonella	Ureaplasma	Ureibacillus	Vagococcus	Variovorax	Veillonella	Vescimonas	Vibrio	Virgibacillus	Vogesella	Weissella	Weizmannia	Wenzhouxiangella	Xanthobacter	Xanthomonas	Yimella	Zunongwangia
SRR20002365	1	4	12	403	16	8	0	0	2999	76564	526	0	0	305	0	0	208	0	863	0	0	7444	26	115	66	3	624	19	287	0	0	46	0	0	50	722	118	4	0	4152	0	38	13	3	3	0	0	0	147	72	2414	996	1514	0	0	435	2	15	468	21	7	47	400	0	236	1	1412	0	11	0	11074	0	208	5	0	47	15	1	2	0	81	0	20	0	0	0	0	0	0	0	0	16	66	0	0	141	0	77	0	9	174	434	0	0	0	354	16694	0	0	0	17244	90	485363	61	0	72	2114	1	0	3168	0	0	0	2280	160	24	8	19	0	9	0	21	1	0	591	0	208	2261	0	0	1	1052	0	0	37	36	73	3091	0	0	772	8	0	0	4829	0	0	3	0	0	0	0	0	0	26	0	757	16478	0	23	0	0	155	187	8	28	104	103	2816	212	0	17752	0	0	44	35	0	28	0	49	0	13	0	109	82	0	0	0	15	0	80	39	0	304	0	0	0	0	53	0	17	49	9	0	11	46	63	0	0	0	1	60	98	39	0	1	6	0	0	0	0	45	0	33	10	177	69	0	0	0	0	8	13	0	0	0	0	20	4	467	0	0	1684	61	0	0	0	684	0	0	0	2254	0	586	0	464	1	0	0	1	0	0	0	0	0	0	31	0	1	0	7611	0	0	0	497	611	2	6710	10	0	6	0	2	5784	0	4	4	0	3	0	0	107	0	1	0	18	29	14	0	0	10	4	24	0	0	0	0	0	63	20	122	90	61992	17	2120	0	1	0	0	0	0	0	0	6	7481	0	0	530	0	0	386	80	0	0	0	0	57	12	950	0	1	0	0	0	0	8	0	0	0	0	1760635	122	0	33	0	0	3	20	1273	295	86	4	1	1510	2	0	347	63	34	0	169	0	0	270	39569	0	9	0	34	2	0	0	0	0	0	0	13	0	0	0	16	0	359	1980	0	20	146	0	0	0	83	0	0	115	14554	2630	569	0	0	112952	1835	22	5943	107	9	0	0	0	0	0	0	0	26	0	0	7	0	6	0	4	0	0	0	0	18	71	240	31	0	22	50	0	0	0	0	0	37	1	6	0	35	2	0	0	8	199	0	0
SRR20002368	1	10	17	259	0	0	0	0	2090	59049	230	0	0	0	0	0	21	0	167	22	0	2303	0	12	12156	5	171	1	263	0	0	0	16	0	0	2	0	0	4	2071	40	0	0	4	0	0	240	0	19	43	1919	170	484	0	0	256	0	0	17	159	0	24	596	11	362	2	949	1	110	0	1754	2	38	0	0	2	13	0	5	0	46	0	8	0	0	0	0	0	0	0	0	1	81	0	0	0	0	71	0	36	21	568	0	0	0	17	2612	65	0	0	6029	55	81499	0	0	29	1319	0	9	2647	1	0	0	854	24	36	0	0	0	23	0	0	0	3	404	7	575	142	2	4	0	328	0	0	415	0	0	274	0	0	1	0	0	3	50	3	0	37	0	0	0	0	0	0	0	9	71	0	0	0	0	0	2	63	0	11	157	22	3413	26	0	6195	0	0	66	110	2	0	0	27	0	8	0	115	39	0	13	0	23	32	42	150	0	2146	0	0	0	0	2	0	2	5	0	0	0	85	48	1	4	0	0	76	25	58	0	16	0	1	13	1	0	0	0	2	18	134	636	0	7	0	5	0	0	0	0	0	0	0	0	45	0	0	311	2	12	0	0	301	0	0	0	746	0	170	0	2434	0	0	0	0	0	0	0	0	0	11	0	1	5	0	1054	0	0	2	712	182	0	1749	0	0	20	0	0	113	0	0	0	0	5	0	0	49	0	3	0	13	0	0	0	2	32	7	9	0	0	5	13	0	168	23	23	0	28983	72	493	0	0	1	0	0	25	0	0	0	8	3	0	139	0	0	67	85	0	0	0	2	15	163	72	0	13	0	0	0	0	39	1	0	3	0	734118	11	0	16	28	0	0	0	643	13	0	1	1	348	5	0	109	64	31	0	16	0	0	553	239	0	2	0	2	0	0	0	0	302	0	0	79	0	0	0	10	0	175	897	3	1	29	0	0	7	0	0	0	17	5124	1346	167	2	0	8862553	675	1	840	15	8	3	4	1	0	0	1	27	29	0	0	17	0	0	0	0	0	0	0	0	0	20	111	0	0	25	22	0	0	0	0	0	3	19	0	0	73	0	0	2	0	120	0	0
SRR20002369	0	0	0	3	0	0	0	0	7	164	7	0	0	0	0	0	62064	0	0	0	891	11	0	0	8	0	0	0	31	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	153	38	0	0	0	0	0	4	0	2	0	0	0	1	0	14	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	15	1	0	0	0	721	0	0	0	47	0	1330	0	0	0	0	0	0	23	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	67	2	0	0	0	354708	0	0	0	0	0	1	0	0	3232	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	406053	0	0	0	0	0	0	1	0	0	1	1566776	9	1	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	0	18981	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	6	0	0	30	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	32	0	0	0	8	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	4	142	0	0	0	0	0	35	0	0	0	0	0	1	0	3	0	0	0	5	0	0	0	0	0	0	4	343	0	0	0	0	0	15	0	0	0	0	0	3289	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	7	6	0	0	0	50766	0	0	1029	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0
SRR20002371	0	0	6	41	0	0	0	0	655	20593	390	0	0	18	0	0	45	1	98	132	0	263	44	54	75	18	10	0	430	2	0	7	0	0	8	4	22	394	0	258	2	0	4	3	0	0	7	3	0	0	3849	179	996	0	0	340	2	0	69	99	10	42	52	6	87	3	270	6	15	0	1541	1	6	0	0	13	4	0	0	0	38	0	2	0	0	0	8	0	4	0	0	0	0	0	151	0	0	18	0	58	182	206	0	0	0	61	1012	0	0	0	874	17	34652	0	0	85	113	0	0	127	0	0	0	125	17	4	0	64	18	17	0	0	0	0	166	24	63	21	6	47	0	963	15	0	50	0	0	774	8	0	5	0	0	0	10	0	0	37	5	0	0	0	0	0	0	7	11	2	236	0	0	0	7	57	14	0	19	106	210	5	0	998	0	0	33	655	0	0	0	3	0	0	0	27	0	0	81	0	2	0	1	11196	0	586	0	0	0	0	296	0	0	25	1	9	4	41	21	0	0	0	1	43	5	25	0	0	0	0	3	0	8	9	5	0	0	88	72	0	0	0	11	0	0	28	0	0	11	137	0	199	3	6	14440	0	6	0	0	104	9	4	0	105	0	189	0	1069	2	0	0	24	0	0	0	0	0	4	0	1	2	5	2035	0	0	11	230	116	0	471	0	0	0	0	0	122	340	0	0	0	0	0	0	35	4	3	0	2	0	13	0	7	7	0	2	0	15	0	0	4	5	17	9	179	4137	6	183	40	8	0	0	0	2	0	0	0	3	50	0	448	0	0	77	0	0	0	0	0	7	0	91	96	0	0	0	0	9	9	0	0	0	0	79577	27	0	79	265	11	0	0	152	6	0	4	0	26	0	0	59	2	0	7	98	0	0	3760	338	0	0	0	18	11	0	0	0	261	7	16	14	0	0	0	3	0	14	0	0	0	24	0	0	0	0	0	0	5	504	205	92	0	5	94318	233	2	56908	9	0	0	15	0	12	2	0	0	0	0	9	8	0	19	10	2	0	0	0	0	0	508	14	0	0	1	0	0	0	0	2	0	40	28	0	0	6	8	0	0	0	154	0	0
SRR20002373	46	0	72	665	0	0	4	3	5814	161578	584	41	0	60	0	742	128	11	1145	0	12	5255	14	181	58804	67	114	31	1984	0	0	0	0	0	131	21	111	4624	0	4547	15	1	31	0	0	0	0	19	15	94	9884	668	1436	0	0	724	0	15	199	644	51	18	849	41	333	0	2342	11	0	0	4175	0	230	613	11	16	33	1	169	0	170	0	0	0	0	0	0	52	13	0	0	2	109	0	255	0	0	182	44	25	812	2376	0	0	14	68	6395	0	0	0	15831	147	91059	0	0	177	2034	7	47	3324	21	0	0	2851	84	1229	28	10	226	6	0	3	0	0	1820	6	224	538	799	11	0	882	0	0	0	0	0	1714	25	0	9	0	0	9	48	0	24	15	10	17	0	0	0	0	0	0	60	87	3183	38	0	0	6	920	58	17	173	284	3550	190	0	19019	0	13	97	4551	0	0	0	82	0	5	13	306	0	0	6	0	10	81	271	0	0	1024	0	0	0	24	4867	2	29	11	26	0	0	328	73	0	8	0	1207	542	59	50	0	0	0	0	13	0	117	0	0	54	51	63	2272	0	21	0	75	0	11	29	0	0	0	25	0	104	6	0	105437	35	30	0	11	570	14	0	0	1948	0	389	39	3395	29	0	0	0	11	0	0	0	0	0	1	0	0	12	5742	0	0	0	712	216	0	3677	0	0	11	0	0	210	4534	10	0	0	5	0	91	154	399	0	0	139	0	0	0	5	9	21	1	0	0	29	64	2	114	119	206	146	78427	57	602	610	1	6	0	0	0	0	0	546	16	10	0	423	34	1	68	109	95	0	232	29	5	23	444	0	0	0	0	0	0	201	0	0	14	0	1664797	42	0	114	71	0	0	241	1698	0	0	5	0	1478	0	0	938	108	0	18	23	1	0	121	217	0	6	0	0	150	0	0	0	268	9	54	63	8	0	0	109	0	138	38	88	1	124	0	0	0	0	0	0	39	9944	3493	1331	3	0	143703	1993	1	1558	88	0	0	1	18	50	9	0	0	0	0	137	42	3	6	59	0	0	4	2	7	27	2923	205	0	0	25	0	0	0	2	15	5	78	373	60	0	59	0	3	54	5	670	0	0
SRR20002375	108	36	20	303	0	0	6	0	1635	45176	375	0	0	4	2	120	47	0	410	138	20	2519	32	3	68	0	194	20	188	0	0	19	0	0	8	20	31	737	0	1437	35	0	11	24	0	0	10	0	57	30	2882	319	226	0	0	417	12	16	41	46	45	189	347	3	390	12	688	6	108	0	1991	0	59	31	0	15	17	3	5	0	134	0	11	0	0	0	13	6	3	0	0	857	25	0	258	15	0	54	0	0	97	1605	0	0	2	7	5618	0	78	0	6457	64	54179	0	0	1098	1114	0	7	419	1	14	3	1521	17	59	7	0	57	79	0	0	1	2	2176	11	200	78	24	22	0	302	1	0	28	0	0	647	0	0	3	0	0	7	30	0	9	27	8	0	0	0	1	0	0	16	10	31	302	0	0	0	59	336	0	5	278	100	1715	54	0	7148	2	1	199	1216	0	11	0	23	0	2	0	210	0	4	8	0	6	0	0	261	0	1535	0	0	0	11	1194	1	0	3	0	68	0	297	86	1	0	1	4	43	6	30	0	16	0	2	6	0	72	0	0	17	30	258	253	0	19	0	78	0	0	12	0	7	7	196	0	36	0	0	23814	22	13	0	5	317	14	0	0	729	0	663	25	2589	1	0	0	0	2	3	0	2	0	1332	0	0	0	0	2141	0	2	0	246	220	0	1417	0	0	0	4	0	290	390	0	1	0	2	0	3	161	0	5	1	37	0	0	0	4	91	8	2	9	21	25	8	1	45	30	423	29	30831	25	435	165	0	0	0	0	10	6	0	0	24	0	0	159	0	0	32	0	53	3	4	0	19	19	283	344	19	0	0	0	2	70	0	0	0	0	656522	73	0	154	38	0	0	0	675	55	0	17	2	459	44	0	14825	54	0	3	118	0	0	40	462	0	8	0	8	14	0	0	0	153	0	0	86	0	0	0	95	0	95	74	0	0	51	0	0	0	0	0	0	31	4835	1124	270	0	3	37207	826	1	2822	49	0	4	13	4	0	1	0	8	0	0	18	6	0	4	21	1	0	0	0	1	1	846	82	0	2	8	0	0	0	0	0	7	62	7	7	3	14	5	0	0	0	137	0	0
SRR20002377	2	0	0	36	4	0	0	0	171	4326	11	0	0	0	0	0	0	0	33	0	0	237	0	5	27	0	32	6	72	0	0	0	0	0	2	0	3	1	0	149	5	0	0	0	0	0	34	0	4	0	287	0	125	0	1	56	0	0	9	7	0	3	18	2	16	1	111	0	0	0	219	0	4	1	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	1	0	0	53	22	0	0	0	12	106	2	0	0	573	0	12879	0	0	0	0	0	0	164	0	0	0	103	14	3	0	0	0	10	0	0	0	0	0	2	9	0	0	0	0	0	0	0	4	0	0	118	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	18	1	2	0	24	110	1	0	539	0	0	0	8	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	1330	0	0	0	0	0	0	0	2	0	0	0	6	3	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	35	0	2	0	0	131	0	0	0	73	0	62	2	287	3	0	0	18	0	0	0	0	1	0	0	0	0	0	94	0	0	0	24	10	0	111	0	0	0	0	0	11	0	0	0	0	0	0	0	30	5	0	0	0	0	1	0	0	11	1	0	0	6	0	0	0	3	0	11	14	2580	4	46	0	2	0	0	0	0	0	0	0	0	2	0	28	0	0	31	0	0	0	2	0	2	2	10	0	0	0	0	0	0	7	1	0	0	0	56024	5	1	0	0	0	0	0	59	0	0	0	1	37	0	0	35	9	0	0	0	0	1	9	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	0	0	228	0	0	5	0	0	0	0	0	0	0	341	91	28	0	0	184986	124	0	43	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	2	0	0	0	0	0	0	5	0	0	2	0	0	0	0	1	0	0
SRR20002378	47	2	3	132	0	4	0	0	663	31719	311	0	0	19	0	0	89	0	431	0	0	891	29	23	1223	7	247	2	202	0	9	2	0	0	4	1	48	0	0	559	147	0	44	0	8	1	0	0	24	0	2322	67	285	0	0	259	0	0	17	71	7	37	161	0	63	4	958	25	36	0	488	0	18	0	0	7	24	0	0	0	8	0	1	4	0	1	0	0	0	0	0	21	24	0	65	0	0	20	0	0	189	277	0	6	0	15	1831	0	0	0	2991	0	13925	0	2	47	811	0	0	773	2	0	0	490	83	4	6	6	0	34	0	0	7	2	240	11	82	62	2	0	0	206	0	0	32	0	0	432	0	0	70	0	0	5	21	1	0	12	0	0	0	0	0	6	0	6	939	18	0	0	3	0	11	78	0	19	10	60	682	29	0	3434	4	0	31	42	0	0	0	28	0	4	0	108	0	11	0	0	3	0	5	481	0	820	0	1	0	0	38	0	0	0	0	84	0	105	21	0	0	0	2	22	1	295	0	14	0	3	21	18	39	0	0	0	0	50	26	0	12	0	0	9	84	11	0	0	0	64	0	35	0	3	167	23	3	0	0	225	0	0	0	270	0	300	0	1531	4	4	0	0	0	12	0	0	0	2	8	0	0	7	1634	0	0	0	194	62	0	985	2	0	4	0	0	133	0	0	0	0	0	1	13	152	12	0	0	119	0	0	0	5	12	0	8	0	0	0	0	0	25	14	54	65	14413	4	651	0	0	5	0	0	8	2	0	0	7	0	0	153	0	0	20	0	60	0	0	0	40	11	258	22	13	24	0	0	0	0	0	0	0	5	334953	35	7	91	91	0	6	0	208	0	0	4	0	91	0	9	163	12	0	0	16	0	0	262	228	0	0	0	10	39	0	0	0	105	1	2	137	0	0	4	16	0	25	2403	11	0	46	0	11	0	3	2	2	22	1810	634	171	6	0	72150	910	1	959	115	0	0	0	0	6	0	0	4	0	0	0	8	1	0	0	0	0	9	0	0	0	8	18	0	0	0	25	0	0	0	0	0	75	14	9	0	20	1	0	0	0	38	0	0
SRR20002379	14	10	88	1442	28	0	26	0	6696	90580	985	0	0	0	0	0	140	0	755	9643	16	8426	0	53	22619	14	178	66	375	0	46	44	0	0	0	21	73	11	1	8931	59	80	18	5	0	0	33	0	58	83	5159	1022	1019	6	2	923	7	0	154	144	135	109	763	0	602	107	3441	6	1160	0	14153	0	183	45	1	15	0	0	278	0	538	0	9	0	0	10	49	0	0	0	0	12	319	1	610	0	0	118	0	63	547	1250	0	0	0	44	3791	65	0	4	21160	246	52978	3	50	429	9735	0	0	2316	1	21	47	3033	712	1	3	20	0	85	5	5	37	17	2253	33	1081	1860	16	0	0	1625	0	9	30	3	0	1191	0	0	51	31	0	0	13	0	0	94	0	0	0	0	8	0	0	17	223	10	30	11	0	0	60	1329	0	0	451	198	5446	275	0	24942	0	0	326	196	0	0	7	170	0	8	0	2212	65	0	6	0	235	26	10	698	0	8744	0	10	0	0	314	0	10	10	0	0	0	46	131	0	24	0	0	35	2	44	0	0	0	0	18	2	184	0	0	0	83	139	377	0	3	0	39	46	22	0	0	0	2	77	0	90	1	0	319	63	34	0	0	685	0	0	0	4127	0	1782	26	3202	0	0	73	0	0	5	0	0	2	0	0	91	0	0	8601	0	0	0	396	5	0	12707	0	0	2576	0	0	637	0	0	0	0	10	0	4	447	0	0	0	11	17	0	2	16	814	10	99	0	0	5	0	0	153	620	253	72	107759	159	1751	0	31	0	0	0	0	0	0	7	25	33	30	377	0	0	213	0	27	0	0	0	39	128	204	0	168	0	0	0	0	528	1	181	0	7	2564722	639	0	207	1915	0	0	0	2478	64	0	17	2	1991	9	0	1731	347	0	0	113	0	11	738	1546	0	53	37	13	3	0	0	147	1738	10	1	55	0	0	0	1242	0	177	24	92	1	111	0	0	0	17	0	0	114	15155	3541	1224	0	0	12430	8890	1	1219	60	0	2	369	0	57	0	0	0	2	1030	0	37	1	70	0	0	0	0	0	0	35	25	135	0	0	0	3	0	0	0	17	227	198	20	0	0	56	203	20	0	27	1119	11	0
SRR20002380	5	0	4	30	0	0	0	0	189	6533	57	20	1	0	0	51	7	0	58	12	4	289	0	15	15	0	20	0	11	0	0	0	0	0	0	0	5	38	0	265	21	0	0	0	0	16	4	0	14	0	1423	117	20	0	0	2881	2	0	0	17	0	0	0	21	47	134	138	0	0	0	506	0	4	3094	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	2	10	0	0	0	0	11	8	39	9	15	0	0	0	11	668	0	0	0	1034	0	5701	0	1	36	134	0	0	495	0	0	1	181	7	0	0	0	0	0	0	0	0	0	54	0	100	32	0	0	0	0	0	1	5	4	0	8	0	0	0	0	0	0	0	3	4	0	0	0	1	0	0	0	0	1	29	2	12	0	0	2	0	25	0	2	0	86	264	2	0	1456	0	0	7	66	0	0	0	10	0	0	0	7	0	0	3	0	0	0	0	366	0	77	0	0	0	0	0	0	0	0	0	0	0	6	71	0	0	0	5	19	1	0	0	0	0	0	0	2	0	0	0	0	0	41	35	2	2	0	0	0	0	0	0	0	12	12	0	11	0	0	7	0	8	3	0	129	0	0	0	62	0	303	11	303	0	3528	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	1	0	0	666	0	0	0	0	0	112	15	2	0	0	3	0	0	0	0	0	0	10	0	0	4	0	7	0	16	0	0	0	92	0	6	6	12	0	4483	0	140	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	97	0	0	0	10	0	0	4	6	2	1	0	1	0	0	30	5	0	0	0	128362	0	9	128	2	0	0	0	149	0	16	0	0	136	2	0	12	1	0	0	0	0	0	6	157	0	0	0	3	0	0	0	0	0	2	0	3	2	0	0	16	0	57	138	14	0	13	3	0	0	0	0	0	9	584	78	48	0	0	6982015	190	0	151	0	0	0	10	14	0	0	0	0	0	0	0	2	0	4	0	0	0	23	0	0	0	0	29	0	0	0	0	0	0	0	0	0	3	0	8	0	0	6	5765	0	0	0	0	0
