name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides stercoris	46506	S	496066	3960438	4456504	0.61891
Bacteroides thetaiotaomicron	818	S	21791	132710	154501	0.02146
Bacteroides fragilis	817	S	21452	320947	342399	0.04755
Bacteroides ovatus	28116	S	3111	173117	176228	0.02447
Bacteroides eggerthii	28111	S	849	5788	6637	0.00092
Bacteroides xylanisolvens	371601	S	849	29133	29982	0.00416
Bacteroides intestinalis	329854	S	358	727	1085	0.00015
Bacteroides sp. D2	556259	S	86	2791	2877	0.00040
Bacteroides sp. M10	2763022	S	58	909	967	0.00013
Bacteroides finegoldii	338188	S	61	686	747	0.00010
Bacteroides uniformis	820	S	37	3209	3246	0.00045
Bacteroides faecis	674529	S	11	124	135	0.00002
Bacteroides caccae	47678	S	7	14	21	0.00000
Bacteroides nordii	291645	S	6	6	12	0.00000
Bacteroides cellulosilyticus	246787	S	5	84	89	0.00001
Bacteroides salyersiae	291644	S	3	10	13	0.00000
Bacteroides caecimuris	1796613	S	1	8	9	0.00000
Bacteroides zhangwenhongii	2650157	S	1	19	20	0.00000
Phocaeicola dorei	357276	S	346	2281	2627	0.00036
Phocaeicola vulgatus	821	S	89	517	606	0.00008
Phocaeicola salanitronis	376805	S	1	2	3	0.00000
Phocaeicola coprophilus	387090	S	1	8	9	0.00000
Parabacteroides merdae	46503	S	22471	120837	143308	0.01990
Parabacteroides distasonis	823	S	161	5187	5348	0.00074
Parabacteroides johnsonii	387661	S	1	2	3	0.00000
Paraprevotella clara	454154	S	4061	6623	10684	0.00148
Prevotella intermedia	28131	S	29	742	771	0.00011
Prevotella melaninogenica	28132	S	6	137	143	0.00002
Segatella copri	165179	S	2	5	7	0.00000
Alistipes onderdonkii	328813	S	34	250	284	0.00004
Alistipes finegoldii	214856	S	4	26	30	0.00000
Alistipes shahii	328814	S	2	23	25	0.00000
Alistipes indistinctus	626932	S	2	2	4	0.00000
Alistipes communis	2585118	S	1	2	3	0.00000
Butyricimonas faecihominis	1472416	S	1	20	21	0.00000
Odoribacter splanchnicus	28118	S	3	3	6	0.00000
Imtechella halotolerans	1165090	S	14	7	21	0.00000
Escherichia coli	562	S	42	33765	33807	0.00470
Klebsiella pneumoniae	573	S	4	2559	2563	0.00036
Enterobacter kobei	208224	S	1	254	255	0.00004
Haemophilus parainfluenzae	729	S	2	19	21	0.00000
Cardiobacterium hominis	2718	S	1	0	1	0.00000
Turicimonas muris	1796652	S	1	0	1	0.00000
Duodenibacillus massiliensis	1852381	S	1	1075	1076	0.00015
Komagataeibacter oboediens	65958	S	1	2	3	0.00000
Akkermansia muciniphila	239935	S	38	137	175	0.00002
Akkermansia massiliensis	2927224	S	2	85	87	0.00001
Campylobacter concisus	199	S	1	12	13	0.00000
Desulfovibrio fairfieldensis	44742	S	2	0	2	0.00000
Desulfovibrio sp. G11	631220	S	1	3	4	0.00000
Mediterraneibacter gnavus	33038	S	58329	565546	623875	0.08664
[Ruminococcus] torques	33039	S	214	1584	1798	0.00025
[Ruminococcus] lactaris	46228	S	10	32	42	0.00001
Mediterraneibacter glycyrrhizinilyticus	342942	S	7	179	186	0.00003
Blautia wexlerae	418240	S	19864	460972	480836	0.06678
Blautia hansenii	1322	S	10225	154742	164967	0.02291
Blautia parvula	2877527	S	1418	18101	19519	0.00271
Blautia luti	89014	S	42	477	519	0.00007
Blautia coccoides	1532	S	28	906	934	0.00013
Blautia sp. SC05B48	2479767	S	19	403	422	0.00006
Blautia obeum	40520	S	12	148	160	0.00002
Blautia hydrogenotrophica	53443	S	2	45	47	0.00001
Blautia producta	33035	S	1	41	42	0.00001
Blautia argi	1912897	S	1	13	14	0.00000
Enterocloster bolteae	208479	S	3174	15886	19060	0.00265
Enterocloster asparagiformis	333367	S	1574	1236	2810	0.00039
Enterocloster clostridioformis	1531	S	172	2993	3165	0.00044
Faecalimonas umbilicata	1912855	S	1405	28897	30302	0.00421
Anaerostipes caccae	105841	S	156	730	886	0.00012
Anaerostipes hadrus	649756	S	16	253	269	0.00004
Anaerostipes sp. PC18	3036926	S	15	88	103	0.00001
Agathobacter rectalis	39491	S	68	388	456	0.00006
[Clostridium] scindens	29347	S	50	492	542	0.00008
[Clostridium] symbiosum	1512	S	4	6	10	0.00000
Roseburia faecis	301302	S	7	17	24	0.00000
Roseburia intestinalis	166486	S	3	21	24	0.00000
Roseburia hominis	301301	S	3	53	56	0.00001
Dorea longicatena	88431	S	10	99	109	0.00002
Dorea formicigenerans	39486	S	4	83	87	0.00001
Anaerobutyricum hallii	39488	S	14	76	90	0.00001
Hungatella hathewayi	154046	S	14	6	20	0.00000
Sellimonas caecigallum	2592333	S	9	222	231	0.00003
Sellimonas intestinalis	1653434	S	4	53	57	0.00001
Claveliimonas bilis	3028070	S	8	131	139	0.00002
Coprococcus comes	410072	S	1	20	21	0.00000
Coprococcus sp. ART55/1	751585	S	1	27	28	0.00000
Simiaoa sunii	2763672	S	4	36	40	0.00001
Wansuia hejianensis	2763667	S	3	28	31	0.00000
Lachnospira eligens	39485	S	2	4	6	0.00000
Flavonifractor plautii	292800	S	8561	39398	47959	0.00666
Ruminococcus sp. SR1/5	657323	S	167	10625	10792	0.00150
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	4	5	9	0.00000
Faecalibacterium sp. I4-3-84	2929495	S	5	145	150	0.00002
Faecalibacterium sp. i21-0019-B1	3141184	S	3	160	163	0.00002
Faecalibacterium sp. IP-1-18	2929488	S	2	61	63	0.00001
Faecalibacterium prausnitzii	853	S	1	17	18	0.00000
Faecalibacterium wellingii	2929491	S	1	27	28	0.00000
Ruthenibacterium lactatiformans	1550024	S	9	67	76	0.00001
Anaerotruncus colihominis	169435	S	6	95	101	0.00001
Lawsonibacter asaccharolyticus	2108523	S	2	18	20	0.00000
Pusillibacter faecalis	2714358	S	1	15	16	0.00000
Solibaculum mannosilyticum	2780922	S	1	15	16	0.00000
Dysosmobacter welbionis	2093857	S	1	48	49	0.00001
Clostridium sp. C45	3373596	S	1571	42524	44095	0.00612
Clostridium sp. M62/1	411486	S	1	46	47	0.00001
Lactonifactor longoviformis	341220	S	5	49	54	0.00001
Eubacterium ramulus	39490	S	2	10	12	0.00000
Eubacterium callanderi	53442	S	1	6	7	0.00000
Eubacterium maltosivorans	2041044	S	1	17	18	0.00000
Intestinimonas butyriciproducens	1297617	S	4	44	48	0.00001
Clostridioides difficile	1496	S	1	50	51	0.00001
Monoglobus pectinilyticus	1981510	S	1	12	13	0.00000
Streptococcus salivarius	1304	S	117	64340	64457	0.00895
Streptococcus vestibularis	1343	S	19	2635	2654	0.00037
Streptococcus sp. FSL R7-0248	2975324	S	6	7446	7452	0.00103
Streptococcus sp. HSISS2	1316411	S	1	168	169	0.00002
Streptococcus sp. FDAARGOS_192	1839799	S	1	1128	1129	0.00016
Streptococcus parasanguinis	1318	S	11	3049	3060	0.00042
Streptococcus mutans	1309	S	3	113	116	0.00002
Streptococcus gordonii	1302	S	3	154	157	0.00002
Streptococcus sanguinis	1305	S	1	102	103	0.00001
Streptococcus lingualis	3098076	S	1	417	418	0.00006
Streptococcus agalactiae	1311	S	1	4631	4632	0.00064
Lactococcus cremoris	1359	S	3	3176	3179	0.00044
Limosilactobacillus fermentum	1613	S	39	2350	2389	0.00033
Limosilactobacillus reuteri	1598	S	33	699	732	0.00010
Limosilactobacillus pontis	35787	S	3	32	35	0.00000
Limosilactobacillus vaginalis	1633	S	2	28	30	0.00000
Weissella confusa	1583	S	2	15	17	0.00000
Fructilactobacillus sanfranciscensis	1625	S	2	20	22	0.00000
Ligilactobacillus salivarius	1624	S	2	149	151	0.00002
Enterococcus avium	33945	S	2	252	254	0.00004
Enterococcus faecium	1352	S	1	955	956	0.00013
Granulicatella adiacens	46124	S	1	32	33	0.00000
Allobacillus halotolerans	570278	S	18	64	82	0.00001
Acidaminococcus intestini	187327	S	14810	211090	225900	0.03137
Phascolarctobacterium faecium	33025	S	4305	667	4972	0.00069
Megasphaera massiliensis	1232428	S	7	113	120	0.00002
Veillonella parvula	29466	S	3	59	62	0.00001
Veillonella atypica	39777	S	2	17	19	0.00000
Thomasclavelia ramosa	1547	S	418	3885	4303	0.00060
Longicatena caecimuris	1796635	S	9	405	414	0.00006
Amedibacterium intestinale	2583452	S	2	53	55	0.00001
Bifidobacterium adolescentis	1680	S	629	14830	15459	0.00215
Bifidobacterium longum	216816	S	415	4949	5364	0.00074
Bifidobacterium pseudocatenulatum	28026	S	11	54	65	0.00001
Bifidobacterium breve	1685	S	5	35	40	0.00001
Bifidobacterium pseudolongum	1694	S	4	31	35	0.00000
Bifidobacterium catenulatum	1686	S	3	29	32	0.00000
Bifidobacterium dentium	1689	S	2	0	2	0.00000
Bifidobacterium faecale	1454229	S	2	169	171	0.00002
Parascardovia denticolens	78258	S	1	0	1	0.00000
Rothia mucilaginosa	43675	S	102	408	510	0.00007
