#Classification	SRR5091510_bracken_P.kreport
k__Bacteria	18403630
k__Bacteria|p__Bacteroidetes	13240836
k__Bacteria|p__Chlorobi	27
k__Bacteria|p__Fibrobacteres	8
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Firmicutes	4583281
k__Bacteria|p__Actinobacteria	328524
k__Bacteria|p__Tenericutes	118
k__Bacteria|p__Cyanobacteria	52
k__Bacteria|p__Chloroflexi	35
k__Bacteria|p__Deinococcus-Thermus	34
k__Bacteria|p__Verrucomicrobia	113557
k__Bacteria|p__Planctomycetes	19
k__Bacteria|p__Kiritimatiellaeota	13
k__Bacteria|p__Proteobacteria	136404
k__Bacteria|p__Spirochaetes	384
k__Bacteria|p__Fusobacteria	173
k__Bacteria|p__Synergistetes	86
k__Bacteria|p__Candidatus_Saccharibacteria	49
k__Bacteria|p__Acidobacteria	19
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Aquificae	1
k__Bacteria|p__Atribacterota	1
k__Eukaryota	1910
k__Eukaryota|k__Fungi	622
k__Eukaryota|k__Fungi|p__Ascomycota	612
k__Eukaryota|k__Fungi|p__Basidiomycota	10
k__Eukaryota|k__Metazoa	405
k__Eukaryota|k__Metazoa|p__Chordata	405
k__Eukaryota|k__Viridiplantae	858
k__Eukaryota|k__Viridiplantae|p__Streptophyta	836
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	21
k__Eukaryota|p__Apicomplexa	19
k__Eukaryota|p__Euglenozoa	5
k__Archaea	84
k__Archaea|p__Euryarchaeota	80
k__Archaea|p__Candidatus_Thermoplasmatota	4
k__Viruses	4162
k__Viruses|k__Heunggongvirae	4162
k__Viruses|k__Heunggongvirae|p__Uroviricota	4162
