#Classification	S-25-POLJUN-G_bracken_P.kreport
k__Bacteria	253787
k__Bacteria|p__Proteobacteria	190342
k__Bacteria|p__Cyanobacteria	34193
k__Bacteria|p__Actinobacteria	23619
k__Bacteria|p__Firmicutes	681
k__Bacteria|p__Chloroflexi	6
k__Bacteria|p__Armatimonadetes	5
k__Bacteria|p__Deinococcus-Thermus	6
k__Bacteria|p__Acidobacteria	3131
k__Bacteria|p__Bacteroidetes	1297
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	8
k__Bacteria|p__Planctomycetes	423
k__Bacteria|p__Verrucomicrobia	50
k__Bacteria|p__Chlamydiae	9
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Spirochaetes	8
k__Eukaryota	111694
k__Eukaryota|k__Viridiplantae	105461
k__Eukaryota|k__Viridiplantae|p__Streptophyta	105431
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	30
k__Eukaryota|k__Metazoa	5736
k__Eukaryota|k__Metazoa|p__Chordata	5736
k__Eukaryota|k__Fungi	493
k__Eukaryota|k__Fungi|p__Ascomycota	398
k__Eukaryota|k__Fungi|p__Basidiomycota	95
k__Eukaryota|p__Cercozoa	1
k__Eukaryota|p__Apicomplexa	1
k__Archaea	3
k__Archaea|p__Euryarchaeota	2
k__Archaea|p__Thaumarchaeota	1
