#Classification	S-18-POLJUN-G_bracken_P.kreport
k__Bacteria	16282
k__Bacteria|p__Proteobacteria	14366
k__Bacteria|p__Cyanobacteria	1539
k__Bacteria|p__Actinobacteria	260
k__Bacteria|p__Acidobacteria	90
k__Bacteria|p__Bacteroidetes	24
k__Bacteria|p__Planctomycetes	1
k__Eukaryota	1825
k__Eukaryota|k__Viridiplantae	1457
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1457
k__Eukaryota|k__Metazoa	363
k__Eukaryota|k__Metazoa|p__Chordata	363
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
