#Classification	S-4-POLPIL-B_bracken_O.kreport
k__Bacteria	2331230
k__Bacteria|p__Proteobacteria	1462608
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	743193
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	516835
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	97446
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	69649
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	45086
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	12616
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	161
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	649
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	437
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	23
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	95
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	177
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	12
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	522353
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	506834
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	8523
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2413
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	4581
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	181757
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	51472
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	61123
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	47169
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	3323
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2634
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	3382
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	544
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	5624
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2338
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	438
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	350
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2215
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	344
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	82
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	284
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	242
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	40
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	112
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	21
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	10
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	14379
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	11863
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	1197
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	745
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	134
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	43
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	290
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	100
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	3
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	313
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	304
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	9
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	347
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	347
k__Bacteria|p__Proteobacteria|c__Oligoflexia	145
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	106
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	34
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	3
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	115
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	115
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	3
k__Bacteria|p__Actinobacteria	493488
k__Bacteria|p__Actinobacteria|c__Actinomycetia	470453
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	214202
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	69024
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	60814
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	27471
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	16146
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	24308
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	12357
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	18468
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	5784
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	4132
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	3430
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	4237
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1718
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	1064
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	618
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	145
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	763
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	5600
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	98
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	56
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	8
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	15522
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	14830
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	691
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	4970
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	4970
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1226
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1039
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	186
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1192
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	1192
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	124
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	47
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	53
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	24
k__Bacteria|p__Firmicutes	190360
k__Bacteria|p__Firmicutes|c__Bacilli	187718
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	185916
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1801
k__Bacteria|p__Firmicutes|c__Clostridia	1865
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1799
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	53
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	12
