#Classification	S-9-DICUND-G_bracken_P.kreport
k__Bacteria	49361
k__Bacteria|p__Cyanobacteria	25282
k__Bacteria|p__Actinobacteria	4669
k__Bacteria|p__Firmicutes	4512
k__Bacteria|p__Proteobacteria	14036
k__Bacteria|p__Acidobacteria	717
k__Bacteria|p__Bacteroidetes	112
k__Bacteria|p__Planctomycetes	28
k__Bacteria|p__Verrucomicrobia	3
k__Eukaryota	4893
k__Eukaryota|k__Viridiplantae	2985
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2985
k__Eukaryota|k__Metazoa	1862
k__Eukaryota|k__Metazoa|p__Chordata	1862
k__Eukaryota|k__Fungi	46
k__Eukaryota|k__Fungi|p__Ascomycota	45
k__Eukaryota|k__Fungi|p__Basidiomycota	1
k__Viruses	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
