name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Microcoleus sp000317475	96612	S	4	1074	1078	0.08428
Microcoleus asticus	96610	S	1	141	142	0.01110
Microcoleus sp025937335	96634	S	1	136	137	0.01071
Bradyrhizobium sp003020125	120537	S	3	624	627	0.04902
Bradyrhizobium sp017305715	120563	S	1	64	65	0.00508
Bradyrhizobium sp000244915	120510	S	1	80	81	0.00633
Bradyrhizobium diazoefficiens_A	120431	S	1	286	287	0.02244
Tardiphaga sp004173095	120830	S	1	39	40	0.00313
Methylobacterium sp017833295	118314	S	5	742	747	0.05840
Methylobacterium longum	118267	S	3	166	169	0.01321
Methylobacterium sp008039875	118308	S	2	148	150	0.01173
Methylobacterium sp022829605	118334	S	1	52	53	0.00414
Enterovirga sp028290695	118196	S	1	35	36	0.00281
Rhizobium rhododendri	119997	S	7	833	840	0.06567
Rhizobium sp900465675	120048	S	1	42	43	0.00336
Mesorhizobium sp016756495	119626	S	1	87	88	0.00688
Aureimonas_A sp001425485	119233	S	1	247	248	0.01939
Sphingomonas sp000251145	125102	S	1	169	170	0.01329
Belnapia aquatica	113685	S	1	82	83	0.00649
JAFKFI01 sp017307285	113856	S	1	158	159	0.01243
Caballeronia sp001557535	126764	S	15	1376	1391	0.10875
Variovorax sp004211245	129477	S	5	518	523	0.04089
Paraburkholderia aspalathi	127967	S	1	32	33	0.00258
Pseudoxanthomonas_A gei	141044	S	5	765	770	0.06020
Dokdonella_A sp937902695	140463	S	2	63	65	0.00508
Legionella sp030694525	135269	S	1	3	4	0.00031
JACDDU01 sp013816845	132071	S	1	44	45	0.00352
Mycobacterium chlorophenolicum	46420	S	5	1451	1456	0.11383
Mycobacterium sp016462545	46709	S	4	18	22	0.00172
Mycobacterium hodleri	46478	S	2	84	86	0.00672
Actinoplanes sp016464385	45684	S	8	218	226	0.01767
Pseudonocardia sp001899645	47474	S	3	493	496	0.03878
Pedococcus sp001426245	43478	S	5	357	362	0.02830
Leifsonia sp002105485	44020	S	2	326	328	0.02564
Amnibacterium sp022701925	43684	S	1	83	84	0.00657
Marmoricola_A sp011299595	48082	S	6	305	311	0.02431
Terriglobus roseus	40380	S	79	897	976	0.07630
Granulicella paludicola	40167	S	4	50	54	0.00422
Edaphobacter sp000688615	40139	S	1	14	15	0.00117
Pedobacter sp001423945	90085	S	1	66	67	0.00524
Mucilaginibacter ginsenosidivorax	89857	S	1	16	17	0.00133
Spirosoma telluris	85571	S	2	57	59	0.00461
ELB16-189 sp025356795	84835	S	1	11	12	0.00094
Weizmannia ginsengihumi	54029	S	1	82	83	0.00649
Deinococcus sp004801415	98808	S	3	10	13	0.00102
JAPLGZ01 sp026389895	94434	S	1	28	29	0.00227
