feature	Acidaminococcaceae	Actinobacteria.fam...Actinomycetaceae.Streptomycetaceae.	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.fam..incertae.sedis	Bacteria.fam..incertae.sedis	Bacteroidaceae	Bacteroidales.fam..incertae.sedis	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales.Family.XIII..Incertae.Sedis	Clostridiales.fam...Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Eubacteriaceae.Clostridiaceae.	Clostridiales.fam...Eubacteriaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Ruminococcaceae.	Clostridiales.fam..incertae.sedis	Coriobacteriaceae	Coriobacteriia.fam..incertae.sedis	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes.fam...Carnobacteriaceae.Acidaminococcaceae.	Firmicutes.fam...Erysipelotrichaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Eubacteriaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Lachnospiraceae.	Firmicutes.fam...Erysipelotrichaceae.Peptostreptococcaceae.	Firmicutes.fam...Lachnospiraceae.Lactobacillaceae.	Firmicutes.fam..incertae.sedis	Lachnospiraceae	Lactobacillaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellia.fam..incertae.sedis	Veillonellaceae
NS10	1	0	1	0	0	0	12	25	0	0	474	0	0	0	0	260	0	0	1	0	6	21	603	839	3	0	83	1	15	602	1	0	3	0	1	0	6	2014	0	0	0	9	0	0	6	0	0	19	1	405	0	0	4	0	0	0	449
NS11	112	0	0	13	0	1	1	1057	23	0	202	0	0	0	1	46	6	0	0	0	4	16	334	77	2	44	3	6	35	48	0	0	0	0	0	4	122	293	19	0	24	153	0	0	0	0	0	1667	104	917	0	0	3	25	247	0	254
NS13	0	0	2	0	0	0	5	720	0	0	0	0	0	0	0	55	7	0	0	0	42	0	129	0	0	0	15	0	19	477	0	0	0	0	4	0	353	3129	3	0	0	2	0	2	3	0	1	0	63	810	0	0	19	0	0	4	1
NS21	0	0	2	0	0	0	1	1207	52	0	13	0	0	0	0	309	1	0	0	0	5	37	282	0	0	4	3	6	21	76	0	0	7	1	1	27	9	1861	0	0	0	29	1	0	14	0	0	1	0	1655	0	0	28	0	42	0	170
NS25	0	0	0	0	0	0	13	1560	0	0	26	0	0	0	0	480	0	0	0	0	3	40	642	0	0	21	0	0	25	63	173	0	0	0	2	0	8	982	0	0	1	28	0	0	5	0	0	1	84	1664	0	0	1	1	42	0	0
NS27	0	0	0	41	4	0	0	648	0	0	1142	0	0	0	0	353	0	2	0	8	32	22	598	51	1	0	2	0	37	366	0	0	0	0	0	8	144	1103	2	0	0	26	1	0	33	0	0	13	55	960	0	0	107	0	45	0	61
NS28	0	0	0	152	6	0	21	84	0	62	71	0	1	0	0	1192	0	3	11	0	1	4	556	4	0	0	5	0	199	53	23	0	0	0	0	0	45	234	0	0	2	46	1	2	5	0	1	2170	53	684	0	0	4	18	30	0	98
NS29	0	0	3	0	0	0	8	203	25	0	1065	0	0	0	0	232	8	2	40	0	0	66	289	96	0	1	32	0	159	65	0	0	110	0	5	0	303	1268	0	0	0	24	0	2	123	0	0	0	12	1589	0	0	26	1	0	0	106
NS30	0	1	1	0	1	0	7	66	0	0	474	0	0	0	0	214	0	0	0	0	4	44	327	122	0	0	4	52	22	188	0	0	7	1	2	15	16	3661	1	0	0	0	0	0	40	0	0	1	2	456	0	0	19	2	1	0	16
NS32	0	0	0	10	0	0	2	213	0	3	58	0	1	0	0	464	5	0	0	3	5	5	557	14	1	10	1	2	144	800	6	1	0	0	0	0	65	708	33	0	5	110	0	1	2	0	2	770	32	1042	0	0	6	4	15	1	404
