#Classification	S-12-POLPIL-G_bracken_C.kreport
k__Bacteria	1315578
k__Bacteria|p__Proteobacteria	692791
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	456692
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	178880
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	52145
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	4792
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	85
k__Bacteria|p__Proteobacteria|c__Oligoflexia	48
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	110
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	35
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	1
k__Bacteria|p__Actinobacteria	351343
k__Bacteria|p__Actinobacteria|c__Actinomycetia	276096
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	5796
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2462
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	383
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	633
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	65970
k__Bacteria|p__Firmicutes	149299
k__Bacteria|p__Firmicutes|c__Bacilli	148434
k__Bacteria|p__Firmicutes|c__Clostridia	779
k__Bacteria|p__Firmicutes|c__Negativicutes	47
k__Bacteria|p__Firmicutes|c__Tissierellia	35
k__Bacteria|p__Firmicutes|c__Limnochordia	2
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1
k__Bacteria|p__Chloroflexi	1024
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	872
k__Bacteria|p__Chloroflexi|c__Chloroflexia	23
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	10
k__Bacteria|p__Chloroflexi|c__Anaerolineae	10
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	10
k__Bacteria|p__Chloroflexi|c__Tepidiformia	8
k__Bacteria|p__Chloroflexi|c__Caldilineae	45
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	43
k__Bacteria|p__Deinococcus-Thermus	322
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	322
k__Bacteria|p__Armatimonadetes	151
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	97
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	54
k__Bacteria|p__Cyanobacteria	93
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	93
k__Bacteria|p__Tenericutes	31
k__Bacteria|p__Tenericutes|c__Mollicutes	31
k__Bacteria|p__Acidobacteria	81293
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	81212
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	44
k__Bacteria|p__Acidobacteria|c__Blastocatellia	36
k__Bacteria|p__Bacteroidetes	22170
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	18070
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1126
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1457
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	849
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	658
k__Bacteria|p__Bacteroidetes|c__Saprospiria	6
k__Bacteria|p__Rhodothermaeota	43
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	43
k__Bacteria|p__Chlorobi	43
k__Bacteria|p__Chlorobi|c__Chlorobia	43
k__Bacteria|p__Ignavibacteriae	2
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	2
k__Bacteria|p__Gemmatimonadetes	157
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	157
k__Bacteria|p__Planctomycetes	14560
k__Bacteria|p__Planctomycetes|c__Planctomycetia	14196
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	362
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia	1
k__Bacteria|p__Verrucomicrobia	1505
