#Classification	S-19-POLPIL-B_bracken_C.kreport
k__Bacteria	37070
k__Bacteria|p__Proteobacteria	31013
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	19248
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	11761
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Actinobacteria	3407
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3407
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Firmicutes|c__Bacilli	2
k__Bacteria|p__Acidobacteria	2375
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2375
k__Bacteria|p__Bacteroidetes	173
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	161
k__Bacteria|p__Bacteroidetes|c__Cytophagia	8
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	3
k__Bacteria|p__Planctomycetes	98
k__Bacteria|p__Planctomycetes|c__Planctomycetia	98
k__Eukaryota	331
k__Eukaryota|k__Metazoa	157
k__Eukaryota|k__Metazoa|p__Chordata	157
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	157
k__Eukaryota|k__Fungi	26
k__Eukaryota|k__Fungi|p__Ascomycota	26
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	22
k__Eukaryota|k__Viridiplantae	148
k__Eukaryota|k__Viridiplantae|p__Streptophyta	148
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	146
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2
