#Classification	SRR20002429_bracken_P.kreport
k__Bacteria	1673379
k__Bacteria|p__Firmicutes	1519156
k__Bacteria|p__Actinobacteria	10286
k__Bacteria|p__Deinococcus-Thermus	5
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Proteobacteria	143785
k__Bacteria|p__Bacteroidetes	129
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Fusobacteria	2
k__Bacteria|p__Synergistetes	1
k__Eukaryota	1269
k__Eukaryota|k__Metazoa	913
k__Eukaryota|k__Metazoa|p__Chordata	913
k__Eukaryota|k__Fungi	285
k__Eukaryota|k__Fungi|p__Basidiomycota	274
k__Eukaryota|k__Fungi|p__Ascomycota	10
k__Eukaryota|k__Viridiplantae	67
k__Eukaryota|k__Viridiplantae|p__Streptophyta	67
k__Eukaryota|p__Apicomplexa	3
k__Archaea	77
k__Archaea|p__Euryarchaeota	77
k__Viruses	77
k__Viruses|k__Heunggongvirae	77
k__Viruses|k__Heunggongvirae|p__Uroviricota	77
