#Classification	SRR20002429_bracken_O.kreport
k__Bacteria	1673379
k__Bacteria|p__Firmicutes	1519156
k__Bacteria|p__Firmicutes|c__Bacilli	1518969
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1518682
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	287
k__Bacteria|p__Firmicutes|c__Clostridia	155
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	97
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	49
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	8
k__Bacteria|p__Firmicutes|c__Negativicutes	17
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	17
k__Bacteria|p__Firmicutes|c__Tissierellia	8
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	8
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	6
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	6
k__Bacteria|p__Actinobacteria	10286
k__Bacteria|p__Actinobacteria|c__Actinomycetia	10274
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	6032
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	1305
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1299
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	1084
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	420
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	111
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	18
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	2
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	11
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	10
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	1
k__Bacteria|p__Deinococcus-Thermus	5
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	5
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	4
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	1
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	1
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	1
k__Bacteria|p__Proteobacteria	143784
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	136932
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	106683
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	28615
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	178
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	126
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	105
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1116
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	22
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	52
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	10
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	7
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5006
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	4907
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	74
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	9
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	14
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1822
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1252
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	405
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	89
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	53
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	22
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	22
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	22
k__Bacteria|p__Bacteroidetes	129
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	68
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	68
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	58
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	58
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2
k__Bacteria|p__Chlamydiae	9
k__Bacteria|p__Chlamydiae|c__Chlamydiia	9
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	9
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	4
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	4
k__Bacteria|p__Fusobacteria	2
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2
k__Bacteria|p__Synergistetes	1
k__Bacteria|p__Synergistetes|c__Synergistia	1
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	1
k__Eukaryota	1269
k__Eukaryota|k__Metazoa	913
k__Eukaryota|k__Metazoa|p__Chordata	913
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	913
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	913
k__Eukaryota|k__Fungi	285
k__Eukaryota|k__Fungi|p__Basidiomycota	274
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	274
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	274
k__Eukaryota|k__Fungi|p__Ascomycota	10
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	9
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	9
