#Classification	GQ50_bracken_P.kreport
k__Bacteria	36230945
k__Bacteria|p__Bacteroidetes	33041675
k__Bacteria|p__Firmicutes	1586978
k__Bacteria|p__Actinobacteria	60650
k__Bacteria|p__Fusobacteria	749451
k__Bacteria|p__Proteobacteria	792103
k__Bacteria|p__Spirochaetes	38
k__Bacteria|p__Candidatus_Saccharibacteria	31
k__Bacteria|p__Verrucomicrobia	10
k__Bacteria|p__Synergistetes	5
k__Eukaryota	2102
k__Eukaryota|k__Fungi	1125
k__Eukaryota|k__Fungi|p__Ascomycota	1125
k__Eukaryota|k__Metazoa	10
k__Eukaryota|k__Metazoa|p__Chordata	10
k__Eukaryota|k__Viridiplantae	966
k__Eukaryota|k__Viridiplantae|p__Streptophyta	966
k__Archaea	1
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	34252
k__Viruses|k__Heunggongvirae	34252
k__Viruses|k__Heunggongvirae|p__Uroviricota	34252
