Taxon	coef	adj.p	taxRank	dataset	database	DAA_tool
Bradyrhizobium canariense	-0.0471430381337315	9.34644513563732e-13	Species	Moss	KB20	MaAsLin2
Planctomyces sp. Sh.pl62	-0.0116022816618037	9.34644513563732e-13	Species	Moss	KB20	MaAsLin2
Tautonia plasticadhaerens	-0.00976035948817172	2.6016037961934597e-11	Species	Moss	KB20	MaAsLin2
Gemmata obscuriglobus	-0.00636769958531505	5.1311009416059004e-11	Species	Moss	KB20	MaAsLin2
Phenylobacterium zucineum	-0.0153015311784262	5.1598126011627496e-11	Species	Moss	KB20	MaAsLin2
Sphingomonas taxi	0.0378705297721305	5.333353442254179e-11	Species	Moss	KB20	MaAsLin2
Singulisphaera acidiphila	-0.0083418857594559	5.74608895760694e-11	Species	Moss	KB20	MaAsLin2
Bradyrhizobium diazoefficiens	-0.0264650260615026	2.66359802144679e-10	Species	Moss	KB20	MaAsLin2
Afipia sp. Gas231	-0.0613565657412688	4.11725399296078e-10	Species	Moss	KB20	MaAsLin2
Bradyrhizobium genosp.	-0.00981361080076488	1.1956179260228901e-9	Species	Moss	KB20	MaAsLin2
Labilithrix luteola	-0.00662969450083869	2.7144662422024203e-9	Species	Moss	KB20	MaAsLin2
Rhizobium sp. B230.85	0.079385080943883	2.84477082659828e-9	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Btai1	-0.0100969911322552	3.02398190060137e-9	Species	Moss	KB20	MaAsLin2
Aquisphaera giovannonii	-0.00705962298376682	3.84653227467205e-9	Species	Moss	KB20	MaAsLin2
Conexibacter sp. Sysu.d00693	-0.0211298798157208	5.13570671634709e-9	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Ccbau.53421	-0.00709754101029804	5.2749108867141706e-9	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Aap5	0.0957419645472633	1.08924921846924e-8	Species	Moss	KB20	MaAsLin2
Paludisphaera borealis	-0.00741862451284098	1.10338267830797e-8	Species	Moss	KB20	MaAsLin2
Bradyrhizobium japonicum	-0.0196920832522723	3.1173865689166e-8	Species	Moss	KB20	MaAsLin2
Bradyrhizobium sp. Ccbau.051011	-0.00795900433557359	3.1173865689166e-8	Species	Moss	KB20	MaAsLin2
Verrucomicrobium sp. Gas474	-0.00698845769780351	3.1173865689166e-8	Species	Moss	KB20	MaAsLin2
Burkholderia plantarii	-0.00968751538437806	3.23378951846979e-8	Species	Moss	KB20	MaAsLin2
Sphingomonas sp. Hmp9	0.0327479077476681	3.83071616955294e-8	Species	Moss	KB20	MaAsLin2
