Taxon	coef	adj.p	taxRank	database	dataset	DAA_tool
Acetobacteraceae bacterium	-0.7875680379414538	0.057998039332783385	Species	SM_genbank-2022.03	Moss	corncob
Acidisarcina polymorpha	-1.0533739640857533	5.434542327070838e-4	Species	SM_genbank-2022.03	Moss	corncob
Acidisoma sp. L85	-0.690175290740648	0.12641459560171417	Species	SM_genbank-2022.03	Moss	corncob
Acidisoma sp. S159	-1.412369026931598	5.413775054783107e-6	Species	SM_genbank-2022.03	Moss	corncob
Acidisphaera sp. L21	-0.7018650816823441	0.04183068385414583	Species	SM_genbank-2022.03	Moss	corncob
Acidisphaera sp. S103	-2.438018469332811	5.018577638838806e-4	Species	SM_genbank-2022.03	Moss	corncob
Acidobacteria bacterium	-2.034359427375945	3.647797180743825e-4	Species	SM_genbank-2022.03	Moss	corncob
Acidobacteriaceae bacterium	-1.8544972980213665	0.030071793151234254	Species	SM_genbank-2022.03	Moss	corncob
Actinobacteria bacterium	-2.5198819990324286	5.851938431161921e-13	Species	SM_genbank-2022.03	Moss	corncob
Actinobacteria bacterium 21-64-8	0.5915043832860412	0.21076901127755274	Species	SM_genbank-2022.03	Moss	corncob
Actinomycetales bacterium	0.6847351972025285	0.22082749168855026	Species	SM_genbank-2022.03	Moss	corncob
Actinomycetia bacterium	-2.5701880125589707	0.0021658804123309166	Species	SM_genbank-2022.03	Moss	corncob
Actinomycetospora sp. TBRC 11914	-2.71039163778748	0.01998460056216129	Species	SM_genbank-2022.03	Moss	corncob
Afipia sp. GAS231	-1.601390213839785	3.942631383918069e-4	Species	SM_genbank-2022.03	Moss	corncob
Alphaproteobacteria bacterium	-3.264022488243491	8.97929852137355e-5	Species	SM_genbank-2022.03	Moss	corncob
Amnibacterium kyonggiense	-1.210555913413349	0.025472499221424843	Species	SM_genbank-2022.03	Moss	corncob
Bacteroidetes bacterium	-0.9428745633178757	0.040302207210248506	Species	SM_genbank-2022.03	Moss	corncob
