Taxon	coef	adj.p	taxRank	database	dataset	DAA_tool
Acidisarcina polymorpha	-0.9029406556928106	1.567197140683083e-5	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Acidisoma sp. S159	-0.9852536467014106	2.373369787347362e-4	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Afipia sp. GAS231	-0.7663034855380255	1.567197140683083e-5	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bacteroidetes bacterium	-1.1525266846695061	1.7972146793201384e-8	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Beijerinckia sp. L45	0.34759507582597143	0.10094328436214992	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Betaproteobacteria bacterium	-0.7285842394191532	5.801796570099025e-4	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bradyrhizobium canariense	-0.8866297785339039	3.3526820131749062e-9	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bradyrhizobium erythrophlei	-0.9938088751281456	2.8539660536902576e-9	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bradyrhizobium lablabi	-0.7755498190810213	2.029671610665181e-6	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bradyrhizobium sp.	-0.797763061114318	1.9013917728135384e-6	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bradyrhizobium sp. LTSP849	-0.5856107664676612	0.001126420332303582	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bradyrhizobium sp. LTSP857	-0.24175170037158364	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bradyrhizobium sp. S69	-1.2289785207995485	4.475210806992596e-12	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bradyrhizobium sp. dw 411	-0.7999754291882937	1.9013917728135384e-6	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Bryocella elongata	-0.2788623027380685	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Burkholderia sp. AD24	-0.26646189792980995	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Burkholderia sp. S171	-0.6548630238575267	4.6506078465434e-4	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Burkholderiales bacterium	-0.7726506275801943	3.535552606104417e-6	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Caballeronia sordidicola	-0.861886589591357	8.241298973167632e-5	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Edaphobacter lichenicola	-1.5247575193234806	3.9825028666512685e-14	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Enhydrobacter aerosaccus	-0.8726240650056417	7.536322945594453e-6	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Eremiobacteraeota bacterium	0.0038071245288240933	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Gammaproteobacteria bacterium	0.4154640504310177	0.24224075439666695	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Granulicella mallensis	-0.6730611342027736	0.003178572793024126	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Granulicella sp. 5B5	-0.19260822771405775	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Granulicella tundricola	0.13765996692824323	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Labilithrix sp.	-0.6390646255347646	1.9321813857768735e-4	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Lichenibacterium minor	0.5346489725382962	0.002441530517254098	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Lichenibacterium ramalinae	-0.05196180991491159	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Lichenibacterium sp. 6Y81	0.3194391043429401	0.22616820474038263	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium cerastii	1.4616062459014327	4.7587666380988903e-7	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium longum	-0.51623761866824	0.005301085308810926	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium pseudosasicola	0.2541007011292996	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium sp. 2A	0.22655341645530636	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium sp. GXF4	-0.009356959020910544	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium sp. PvR107	-0.17847257745891187	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium sp. WL119	0.9914650349062055	3.869841256812403e-5	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium sp. WL12	1.2075458635419625	3.4515436012531945e-7	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium sp. WL18	0.31815970618611567	0.5769794286318715	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium sp. WL6	0.9926573030482418	6.309740944868812e-8	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium sp. WL64	0.1531616671705928	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Methylobacterium sp. WL7	0.12797874894484665	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Mycobacterium cookii	-0.5308450350446325	5.133574324632041e-4	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Mycobacterium sp.	-0.395507859946725	0.04071199053455129	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Mycolicibacterium madagascariense	-0.4881296231584601	0.04623492419591041	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nevskia soli	-0.3786967502184786	0.2977030371638225	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc commune	-0.04236143888531885	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc flagelliforme	-0.296017421427122	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc foliaceum	0.1146789123489991	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc mirabile	0.20652059625480912	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc punctiforme	-0.31544279090159794	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. Peltigera malacea cyanobiont DB3992	-0.45565599673735996	0.056633431612781594	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. Peltigera membranacea cyanobiont 210A	-0.05521948747345623	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. Peltigera membranacea cyanobiont 232	-0.013408148317015853	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. 3335mG	0.056678686222528536	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. C052	0.30132286311815015	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. JL23	-0.21697648819413332	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. JL31	0.0950407090264988	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. JL33	-0.09767411335686992	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. JL34	-0.43386220237483564	0.5439239589989044	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. KVJ20	0.004493498581214933	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. NMS4	0.39954964724903075	0.12380131721357066	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. NMS7	-0.4254415393557491	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sp. XA010	-0.33463916704144303	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Nostoc sphaeroides	-0.19184509634504282	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
PVC group bacterium	-0.656496850783361	5.265895377156641e-4	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Paraburkholderia aspalathi	-0.11390343156335891	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Paraburkholderia phenazinium	-0.5764808712573146	0.00657747019832889	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Paraburkholderia sp. BCC1886	-0.29737091048997877	0.9669157475843903	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Planctomycetes bacterium	-0.6985460787284391	1.0196840708563888e-6	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Proteobacteria bacterium	-0.42160334003195005	0.04669175788300932	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Rhizobacter sp. Root404	0.19421468275478418	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Rhizobium sp. B21/90	1.2880792959993554	2.1697547257173862e-5	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Rhizobium sp. L245/93	2.1971849670888264	7.843058142344335e-16	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Rhodanobacter sp. ANJX3	0.7517766401379348	3.738730548752269e-4	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Rhodanobacter sp. K2T2	0.8301140509861941	4.965067465675044e-7	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Rhodospirillales bacterium	-0.03256815687166402	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Rhodospirillales bacterium 70-18	-0.4815883896986133	0.009698150334841033	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Solirubrobacterales bacterium	0.012686502923801628	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Solirubrobacterales bacterium 70-9	-0.9602465768788171	8.632148806932138e-10	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Sphingomonas oligoaromativorans	0.29320162719261567	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Sphingomonas sp.	0.16072365641236308	1	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Sphingomonas sp. PAMC 26605	0.46970767157321597	0.010154363921467268	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Stigonema ocellatum	-1.0009258794518492	1.5155197971232662e-6	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Trebonia kvetii	-0.5856823034147227	2.032844555216181e-4	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Verrucomicrobia bacterium	-0.5558957022948604	0.002802874815446654	Species	SM_genbank-2022.03	Moss	ANCOMBC2
Vitreoscilla sp.	-0.4623850975133579	0.025942460610183193	Species	SM_genbank-2022.03	Moss	ANCOMBC2
uncultured Sphingomonadaceae bacterium	0.7228998647301532	4.026583340152316e-7	Species	SM_genbank-2022.03	Moss	ANCOMBC2
uncultured beta proteobacterium	-0.7308404556149964	1.5556808190218032e-4	Species	SM_genbank-2022.03	Moss	ANCOMBC2
uncultured cyanobacterium	-0.7881351820692767	5.052328363838694e-5	Species	SM_genbank-2022.03	Moss	ANCOMBC2
69-11 sp001898425	0.38754671631444015	0.1706439508764684	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Acidisarcina polymorpha	-0.6714211545656431	0.0032198234770681225	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Acidisoma sp009765865	-0.737908164179185	0.03659527857347675	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Actinoplanes durhamensis	-0.4593339133084524	0.03265807913566843	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bog-1198 sp003134045	0.1637960697921579	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bog-532 sp019240215	-0.6381977792462834	1.122608713749567e-4	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium canariense	-0.6043454793796458	3.0523048461231175e-5	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium erythrophlei	-0.718014083477739	3.22084910557097e-5	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium lablabi	-0.5889341400537939	2.958700364521687e-4	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium septentrionale	-0.4365767784982975	0.08077458792583186	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium sp000938305	0.40348696861299216	0.02273269664528557	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium sp009766005	-0.9216310528753939	5.0258152199818614e-8	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium sp018449695	-0.5413870709324642	0.005025153367425766	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium sp018736105	-0.4856458963683252	0.0025166868906246107	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium sp021779635	-0.48194883116471776	0.002414283039438454	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bradyrhizobium sp900103365	-0.6835166920967385	4.561826277533669e-5	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Bryocella elongata	0.21596879787816814	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
CAHJWH01 sp903642205	0.255925805367037	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
CAHJWO01 sp903642295	-0.46792775991987806	0.016905121377704023	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
CAHJXF01 sp903644065	0.22823088235626748	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
CAIMXF01 sp023231945	-0.49644978530820566	0.0205863451776785	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Caballeronia mineralivorans	0.35668162027314854	0.35456908630614953	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Caballeronia sordidicola	-1.2254250750599875	8.495049048015922e-10	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Caballeronia sp001424345	0.5135931167904295	0.013837588928238944	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Caballeronia sp009766085	-0.4785567709913484	0.01676887062766758	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Caballeronia sp022878925	-0.42261207110529236	0.09042402592969122	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Caballeronia udeis	0.4295318930241225	0.029951667365769482	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Edaphobacter lichenicola	-1.3844757436306232	1.991905934277637e-13	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
JAJZFE01 sp014083945	0.08668917769498535	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
LMUY01 sp009765685	0.27882197209557685	0.5063529277383905	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Lichenicola cladoniae	0.24478059500425806	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Lichenihabitans minor	0.7065157952601862	8.278316465756191e-7	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Lichenihabitans ramalinae	0.09350231229421067	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Methylobacterium cerastii	1.3454936709064442	4.260253766465823e-12	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Methylobacterium sp008039875	1.433945977861463	1.484587479102862e-7	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Methylobacterium sp017833295	0.09834298835623499	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Methylobacterium sp022702195	0.9224042723464052	9.761914804807546e-6	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Methylobacterium sp022829365	0.6320344291382007	0.011508643844826692	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Methylobacterium sp022829585	0.6841993903454878	0.0017879520252831096	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Methylobacterium sp022829635	-0.004400370315144552	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Mucilaginibacter sp013408825	-0.12112801246256029	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Mycobacterium sp002043095	0.23352255581014106	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc commune	-0.008690263245284768	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc flagelliforme	-0.06611567886091797	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc punctiforme	-0.005157858115546116	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc sp002246015	-0.1115348399336528	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc sp002949735	0.18205472883297835	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc sp013393905	0.4598518656191178	0.05593552972560395	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc sp017114945	-0.22839165571325062	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc sp017114985	0.3113703145905092	0.7055651939535537	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc sp017115085	-0.1832846762275297	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc sp020829625	0.05153470743308288	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc sp023522315	0.29043291220388795	0.8269845249020314	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Nostoc sphaeroides	0.13170795599950733	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
Palsa-1515 sp903970385	0.018861506241285693	1	Species	SM_gtdb-rs214-full	Moss	ANCOMBC2
