Taxon	coef	adj.p	taxRank	database	dataset	DAA_tool
Acetobacteraceae bacterium	0.0328715600019894	0.9182658671797418	Species	SM_genbank-2022.03	Moss	Aldex2
Acidisarcina polymorpha	-0.2729884119196217	0.022742784622988912	Species	SM_genbank-2022.03	Moss	Aldex2
Acidisoma sp. L85	0.05820466617595883	0.8316833185181082	Species	SM_genbank-2022.03	Moss	Aldex2
Acidisoma sp. S159	-0.5064103701795462	5.912090468702935e-4	Species	SM_genbank-2022.03	Moss	Aldex2
Acidisphaera sp. L21	-0.00355258505182459	0.9989841690233693	Species	SM_genbank-2022.03	Moss	Aldex2
Acidisphaera sp. S103	-0.27646258303667726	0.4153227834565386	Species	SM_genbank-2022.03	Moss	Aldex2
Acidobacteria bacterium	-0.30163075913277915	0.4672198369301443	Species	SM_genbank-2022.03	Moss	Aldex2
Acidobacteriaceae bacterium	0.14343844510432427	0.3606587187105652	Species	SM_genbank-2022.03	Moss	Aldex2
Actinobacteria bacterium	-1.1139948828731052	2.527971420627742e-9	Species	SM_genbank-2022.03	Moss	Aldex2
Actinobacteria bacterium 21-64-8	0.3422045075092433	0.014196640767489957	Species	SM_genbank-2022.03	Moss	Aldex2
Actinomycetales bacterium	0.34623783968917754	0.006666456814023178	Species	SM_genbank-2022.03	Moss	Aldex2
Actinomycetia bacterium	-0.06174685914580297	0.9223590316975587	Species	SM_genbank-2022.03	Moss	Aldex2
Actinomycetospora endophytica	0.05515705447409936	0.8105749516004341	Species	SM_genbank-2022.03	Moss	Aldex2
Actinomycetospora sp. TBRC 11914	0.05097675112296227	0.8363480282144157	Species	SM_genbank-2022.03	Moss	Aldex2
Actinoplanes durhamensis	0.0036226300867348246	0.9267921796237933	Species	SM_genbank-2022.03	Moss	Aldex2
Afipia sp. GAS231	-0.3545598351862257	0.18986991560254718	Species	SM_genbank-2022.03	Moss	Aldex2
Alphaproteobacteria bacterium	-0.5445143653506023	0.00875859086693126	Species	SM_genbank-2022.03	Moss	Aldex2
Amnibacterium kyonggiense	0.05971763755254693	0.8493408063960454	Species	SM_genbank-2022.03	Moss	Aldex2
Bacteroidetes bacterium	0.007070514487880177	0.9595019926521918	Species	SM_genbank-2022.03	Moss	Aldex2
Beijerinckia sp. L45	0.3128425784615471	5.092662751705194e-4	Species	SM_genbank-2022.03	Moss	Aldex2
