Taxon	coef	adj.p	taxRank	database	dataset	DAA_tool
uncultured Alphaproteobacteria bacterium	-6.1831083864967145	1.641964238838182e-41	Species	SM_genbank-2022.03	Moss	edgeR
Rhizobacter sp.	-5.578689527170031	6.466514616144048e-30	Species	SM_genbank-2022.03	Moss	edgeR
Rhizobium tumorigenes	5.307246644308108	1.9170813249824062e-28	Species	SM_genbank-2022.03	Moss	edgeR
uncultured Mucilaginibacter sp.	-4.972893740427397	7.512275366557647e-28	Species	SM_genbank-2022.03	Moss	edgeR
Phenylobacterium sp.	-4.710208733865986	8.403003034545354e-27	Species	SM_genbank-2022.03	Moss	edgeR
Rhizobiales bacterium dw 265	-4.740189029711681	4.161240396166963e-25	Species	SM_genbank-2022.03	Moss	edgeR
Bradyrhizobium sp. S2-11-2	-4.799307168573795	8.95388982190446e-25	Species	SM_genbank-2022.03	Moss	edgeR
Iningainema tapete	-5.4842497784566895	4.317446264758484e-24	Species	SM_genbank-2022.03	Moss	edgeR
Actinoplanes durhamensis	-5.0074525546870206	1.6684774035256226e-23	Species	SM_genbank-2022.03	Moss	edgeR
Polymorphobacter sp. PAMC 29362	-5.066102407850529	8.784163502254943e-23	Species	SM_genbank-2022.03	Moss	edgeR
uncultured Hyphomicrobiales bacterium	-4.5477377479605154	1.1315779442957143e-22	Species	SM_genbank-2022.03	Moss	edgeR
Actinomycetospora endophytica	-4.890195542078048	1.4883643990354356e-22	Species	SM_genbank-2022.03	Moss	edgeR
Methylobacterium cerastii	5.599193600951511	3.013357807713806e-22	Species	SM_genbank-2022.03	Moss	edgeR
Deltaproteobacteria bacterium	-4.364786979259024	5.123352157610406e-22	Species	SM_genbank-2022.03	Moss	edgeR
Xanthobacteraceae bacterium	-4.230050493530222	2.1868045857101354e-21	Species	SM_genbank-2022.03	Moss	edgeR
Labilithrix sp.	-4.234746560423681	2.503248636522702e-19	Species	SM_genbank-2022.03	Moss	edgeR
Bradyrhizobium canariense	-3.9219465440266688	9.82707258088275e-19	Species	SM_genbank-2022.03	Moss	edgeR
Solirubrobacterales bacterium 70-9	-4.131412815119619	1.4165823925068108e-18	Species	SM_genbank-2022.03	Moss	edgeR
Enhydrobacter aerosaccus	-4.561769840600106	3.2703120908141363e-18	Species	SM_genbank-2022.03	Moss	edgeR
Rhizobium sp. B21/90	5.245034966648068	3.1139269673032773e-14	Species	SM_genbank-2022.03	Moss	edgeR
Bradyrhizobium sp.	-3.7812961583259055	6.283355371063205e-14	Species	SM_genbank-2022.03	Moss	edgeR
