#Classification	S-15-POLJUN-B_bracken_P.kreport
k__Bacteria	281355
k__Bacteria|p__Proteobacteria	202616
k__Bacteria|p__Actinobacteria	41223
k__Bacteria|p__Cyanobacteria	20549
k__Bacteria|p__Firmicutes	8398
k__Bacteria|p__Armatimonadetes	13
k__Bacteria|p__Chloroflexi	6
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Acidobacteria	5295
k__Bacteria|p__Bacteroidetes	2216
k__Bacteria|p__Planctomycetes	892
k__Bacteria|p__Verrucomicrobia	128
k__Bacteria|p__Chlamydiae	9
k__Bacteria|p__Nitrospirae	2
k__Eukaryota	2714
k__Eukaryota|k__Metazoa	1532
k__Eukaryota|k__Metazoa|p__Chordata	1532
k__Eukaryota|k__Fungi	216
k__Eukaryota|k__Fungi|p__Ascomycota	181
k__Eukaryota|k__Fungi|p__Basidiomycota	34
k__Eukaryota|k__Viridiplantae	965
k__Eukaryota|k__Viridiplantae|p__Streptophyta	955
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	10
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
