#Classification	S-2-POLJUN-G_bracken_O.kreport
k__Bacteria	362321
k__Bacteria|p__Proteobacteria	326405
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	282384
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	269631
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	11821
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	746
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	177
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	33393
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	33140
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	19
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	232
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	10410
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	6664
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1647
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2043
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	47
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	217
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	216
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	1
k__Bacteria|p__Actinobacteria	30658
k__Bacteria|p__Actinobacteria|c__Actinomycetia	29394
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	11100
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	4268
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	743
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	4219
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	548
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	7030
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	466
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	366
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	444
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	73
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	90
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	42
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	981
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	981
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	277
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	277
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	4
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	4
k__Bacteria|p__Firmicutes	178
k__Bacteria|p__Firmicutes|c__Bacilli	178
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	178
k__Bacteria|p__Cyanobacteria	123
k__Bacteria|p__Cyanobacteria|o__Nostocales	81
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	42
k__Bacteria|p__Acidobacteria	3162
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	3162
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	3162
k__Bacteria|p__Bacteroidetes	1623
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	778
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	778
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	537
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	537
k__Bacteria|p__Bacteroidetes|c__Cytophagia	259
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	259
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	46
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	46
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2
k__Bacteria|p__Planctomycetes	150
k__Bacteria|p__Planctomycetes|c__Planctomycetia	150
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Isosphaerales	80
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	41
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	28
k__Bacteria|p__Verrucomicrobia	12
k__Bacteria|p__Verrucomicrobia|c__Opitutae	10
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	10
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2
