#Classification	S-6-DICUND-G_bracken_P.kreport
k__Bacteria	706913
k__Bacteria|p__Cyanobacteria	187700
k__Bacteria|p__Actinobacteria	92345
k__Bacteria|p__Firmicutes	2617
k__Bacteria|p__Deinococcus-Thermus	63
k__Bacteria|p__Armatimonadetes	19
k__Bacteria|p__Chloroflexi	8
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Proteobacteria	391422
k__Bacteria|p__Acidobacteria	26194
k__Bacteria|p__Planctomycetes	2892
k__Bacteria|p__Verrucomicrobia	278
k__Bacteria|p__Chlamydiae	17
k__Bacteria|p__Kiritimatiellaeota	135
k__Bacteria|p__Bacteroidetes	3127
k__Bacteria|p__Balneolaeota	10
k__Bacteria|p__Gemmatimonadetes	63
k__Bacteria|p__Candidatus_Saccharibacteria	14
k__Bacteria|p__Nitrospirae	1
k__Eukaryota	43098
k__Eukaryota|k__Viridiplantae	34715
k__Eukaryota|k__Viridiplantae|p__Streptophyta	34695
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	19
k__Eukaryota|k__Metazoa	5740
k__Eukaryota|k__Metazoa|p__Chordata	5740
k__Eukaryota|k__Fungi	2623
k__Eukaryota|k__Fungi|p__Ascomycota	2530
k__Eukaryota|k__Fungi|p__Basidiomycota	93
k__Eukaryota|p__Apicomplexa	11
k__Eukaryota|p__Bacillariophyta	1
k__Eukaryota|p__Euglenozoa	6
k__Archaea	13
k__Archaea|p__Euryarchaeota	13
k__Viruses	2
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
