#Classification	S-2-POLCOM-G_bracken_P.kreport
k__Bacteria	22318
k__Bacteria|p__Proteobacteria	19021
k__Bacteria|p__Actinobacteria	1155
k__Bacteria|p__Firmicutes	976
k__Bacteria|p__Bacteroidetes	428
k__Bacteria|p__Acidobacteria	730
k__Bacteria|p__Planctomycetes	6
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	3142
k__Eukaryota|k__Viridiplantae	1769
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1769
k__Eukaryota|k__Metazoa	1310
k__Eukaryota|k__Metazoa|p__Chordata	1310
k__Eukaryota|k__Fungi	62
k__Eukaryota|k__Fungi|p__Ascomycota	54
k__Eukaryota|k__Fungi|p__Basidiomycota	7
