#Classification	S-6-POLCOM-G_bracken_O.kreport
k__Bacteria	714158
k__Bacteria|p__Proteobacteria	522081
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	336492
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	173654
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	92505
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	57365
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	6668
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	5807
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	293
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	79
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	81
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	22
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	140569
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	134580
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3974
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	994
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1020
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	42835
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	13505
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	11127
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	11582
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1184
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1039
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	175
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1645
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	162
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1082
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	156
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	43
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	191
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	121
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	19
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	21
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	68
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	703
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1818
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1264
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	214
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	107
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	61
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	8
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	111
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	48
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	2
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	89
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	88
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	1
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	190
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	190
k__Bacteria|p__Proteobacteria|c__Oligoflexia	70
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	54
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	13
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	2
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	13
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	13
k__Bacteria|p__Actinobacteria	119114
k__Bacteria|p__Actinobacteria|c__Actinomycetia	114095
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	50814
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	13173
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	10858
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	13304
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	8150
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	3277
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2483
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	1692
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	1265
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	2196
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	1063
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	566
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	419
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	212
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	4236
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	99
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	38
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	203
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	23
