#Classification	GQ46_bracken_P.kreport
k__Bacteria	2112704
k__Bacteria|p__Bacteroidetes	1171378
k__Bacteria|p__Firmicutes	872261
k__Bacteria|p__Actinobacteria	29860
k__Bacteria|p__Proteobacteria	39147
k__Bacteria|p__Verrucomicrobia	36
k__Bacteria|p__Spirochaetes	20
k__Archaea	573
k__Archaea|p__Euryarchaeota	573
k__Eukaryota	72
k__Eukaryota|k__Viridiplantae	38
k__Eukaryota|k__Viridiplantae|p__Streptophyta	38
k__Eukaryota|k__Metazoa	33
k__Eukaryota|k__Metazoa|p__Chordata	33
k__Viruses	6
k__Viruses|k__Heunggongvirae	6
k__Viruses|k__Heunggongvirae|p__Uroviricota	6
