#Classification	SRR5091568_bracken_P.kreport
k__Bacteria	5147496
k__Bacteria|p__Bacteroidetes	4306967
k__Bacteria|p__Firmicutes	750559
k__Bacteria|p__Actinobacteria	32596
k__Bacteria|p__Proteobacteria	57055
k__Bacteria|p__Verrucomicrobia	164
k__Bacteria|p__Fusobacteria	89
k__Bacteria|p__Spirochaetes	50
k__Bacteria|p__Candidatus_Saccharibacteria	9
k__Bacteria|p__Synergistetes	3
k__Archaea	4405
k__Archaea|p__Euryarchaeota	4400
k__Archaea|p__Candidatus_Thermoplasmatota	5
k__Eukaryota	342
k__Eukaryota|k__Viridiplantae	323
k__Eukaryota|k__Viridiplantae|p__Streptophyta	323
k__Eukaryota|k__Fungi	18
k__Eukaryota|k__Fungi|p__Ascomycota	18
k__Eukaryota|k__Metazoa	1
k__Eukaryota|k__Metazoa|p__Chordata	1
k__Viruses	804
k__Viruses|k__Heunggongvirae	781
k__Viruses|k__Heunggongvirae|p__Uroviricota	781
k__Viruses|k__Sangervirae	23
k__Viruses|k__Sangervirae|p__Phixviricota	23
