#Classification	GQ26_bracken_P.kreport
k__Bacteria	2385669
k__Bacteria|p__Firmicutes	1856988
k__Bacteria|p__Actinobacteria	195330
k__Bacteria|p__Tenericutes	70
k__Bacteria|p__Bacteroidetes	236089
k__Bacteria|p__Fusobacteria	71211
k__Bacteria|p__Proteobacteria	20905
k__Bacteria|p__Spirochaetes	4200
k__Bacteria|p__Candidatus_Saccharibacteria	863
k__Bacteria|p__Synergistetes	10
k__Eukaryota	18722
k__Eukaryota|k__Viridiplantae	9814
k__Eukaryota|k__Viridiplantae|p__Streptophyta	9814
k__Eukaryota|k__Metazoa	7920
k__Eukaryota|k__Metazoa|p__Chordata	7920
k__Eukaryota|k__Fungi	984
k__Eukaryota|k__Fungi|p__Ascomycota	942
k__Eukaryota|k__Fungi|p__Basidiomycota	41
k__Eukaryota|p__Apicomplexa	3
k__Viruses	19
k__Viruses|k__Heunggongvirae	19
k__Viruses|k__Heunggongvirae|p__Uroviricota	11
k__Viruses|k__Heunggongvirae|p__Peploviricota	8
