#Classification	NS36_bracken_P.kreport
k__Bacteria	10361188
k__Bacteria|p__Bacteroidetes	4207827
k__Bacteria|p__Firmicutes	2850821
k__Bacteria|p__Actinobacteria	389995
k__Bacteria|p__Verrucomicrobia	2877293
k__Bacteria|p__Proteobacteria	34886
k__Bacteria|p__Spirochaetes	238
k__Bacteria|p__Synergistetes	63
k__Bacteria|p__Candidatus_Saccharibacteria	27
k__Bacteria|p__Fusobacteria	33
k__Archaea	58
k__Archaea|p__Euryarchaeota	58
k__Eukaryota	47
k__Eukaryota|k__Fungi	34
k__Eukaryota|k__Fungi|p__Ascomycota	34
k__Eukaryota|k__Metazoa	7
k__Eukaryota|k__Metazoa|p__Chordata	7
k__Eukaryota|k__Viridiplantae	6
k__Eukaryota|k__Viridiplantae|p__Streptophyta	6
k__Viruses	272177
k__Viruses|k__Heunggongvirae	272177
k__Viruses|k__Heunggongvirae|p__Uroviricota	272177
