#Classification	GQ21_bracken_C.kreport
k__Bacteria	5427194
k__Bacteria|p__Firmicutes	4195192
k__Bacteria|p__Firmicutes|c__Bacilli	4015837
k__Bacteria|p__Firmicutes|c__Negativicutes	46557
k__Bacteria|p__Firmicutes|c__Clostridia	84785
k__Bacteria|p__Firmicutes|c__Tissierellia	47962
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	49
k__Bacteria|p__Actinobacteria	577916
k__Bacteria|p__Actinobacteria|c__Actinomycetia	576018
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1897
k__Bacteria|p__Tenericutes	77
k__Bacteria|p__Tenericutes|c__Mollicutes	77
k__Bacteria|p__Proteobacteria	477961
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	318588
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	150424
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	8944
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	5
k__Bacteria|p__Bacteroidetes	101962
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	89855
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	12106
k__Bacteria|p__Candidatus_Saccharibacteria	39875
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	39875
k__Bacteria|p__Fusobacteria	32915
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	32915
k__Bacteria|p__Spirochaetes	1272
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1272
k__Bacteria|p__Synergistetes	20
k__Bacteria|p__Synergistetes|c__Synergistia	20
k__Eukaryota	3403
k__Eukaryota|k__Metazoa	3191
k__Eukaryota|k__Metazoa|p__Chordata	3191
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	3191
k__Eukaryota|k__Fungi	24
k__Eukaryota|k__Fungi|p__Basidiomycota	24
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	24
k__Eukaryota|k__Viridiplantae	185
k__Eukaryota|k__Viridiplantae|p__Streptophyta	185
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	185
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Apicomplexa|c__Conoidasida	2
k__Viruses	22
k__Viruses|k__Heunggongvirae	22
k__Viruses|k__Heunggongvirae|p__Uroviricota	15
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	15
k__Viruses|k__Heunggongvirae|p__Peploviricota	7
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	7
