#Classification	NS62_bracken_O.kreport
k__Bacteria	4950858
k__Bacteria|p__Firmicutes	4045634
k__Bacteria|p__Firmicutes|c__Clostridia	3878898
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	3878898
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	109052
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	109052
k__Bacteria|p__Firmicutes|c__Bacilli	51153
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	50643
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	509
k__Bacteria|p__Firmicutes|c__Negativicutes	6478
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	6185
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	293
k__Bacteria|p__Firmicutes|c__Tissierellia	51
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	51
k__Bacteria|p__Actinobacteria	436837
k__Bacteria|p__Actinobacteria|c__Actinomycetia	360288
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	350354
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	8977
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	797
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	144
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	15
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	76549
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	76202
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	347
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	1
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	1
k__Bacteria|p__Bacteroidetes	332671
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	332485
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	332485
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	186
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	186
k__Bacteria|p__Verrucomicrobia	129610
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	129610
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	129610
k__Bacteria|p__Proteobacteria	5618
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	4717
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	4717
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	4
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	698
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	406
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	45
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	246
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	143
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	142
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	56
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	56
k__Bacteria|p__Spirochaetes	278
k__Bacteria|p__Spirochaetes|c__Spirochaetia	278
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	278
k__Bacteria|p__Fusobacteria	110
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	110
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	110
k__Bacteria|p__Candidatus_Saccharibacteria	92
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	92
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	92
k__Bacteria|p__Synergistetes	2
k__Bacteria|p__Synergistetes|c__Synergistia	2
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2
k__Archaea	230736
k__Archaea|p__Euryarchaeota	230736
k__Archaea|p__Euryarchaeota|c__Methanobacteria	230736
