name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas_E sp020515695	138765	S	179	6455	6634	0.45790
Pseudomonas_E sp903970465	138888	S	9	183	192	0.01325
Pseudomonas_E sp014842265	138726	S	2	111	113	0.00780
Caballeronia sp001557535	126764	S	1	50	51	0.00352
Rhizobium rhododendri	119997	S	102	5361	5463	0.37707
Rhizobium tumorigenes	120079	S	2	104	106	0.00732
Methylobacterium sp008039875	118308	S	1	102	103	0.00711
Lichenihabitans flavocetrariae	118233	S	1	13	14	0.00097
Lichenicoccus roseus	113922	S	10	363	373	0.02575
LMUY01 sp009765685	113921	S	1	43	44	0.00304
Acidisoma sp009765865	113615	S	1	17	18	0.00124
Nostoc sp017115085	96877	S	6	284	290	0.02002
Nostoc sp002245985	96858	S	2	243	245	0.01691
Nostoc commune	96838	S	1	98	99	0.00683
NSF051 sp029379215	96827	S	2	8	10	0.00069
Stigonema ocellatum	96939	S	1	410	411	0.02837
Palsa-1515 sp903970385	102220	S	14	286	300	0.02071
Acidisarcina polymorpha	40108	S	2	5	7	0.00048
Granulicella_D aggregans_A	40206	S	1	4	5	0.00035
