#Classification	S-4-DICUND-B_bracken_P.kreport
k__Bacteria	165845
k__Bacteria|p__Actinobacteria	99782
k__Bacteria|p__Cyanobacteria	1443
k__Bacteria|p__Chloroflexi	9
k__Bacteria|p__Firmicutes	537
k__Bacteria|p__Armatimonadetes	8
k__Bacteria|p__Proteobacteria	58858
k__Bacteria|p__Acidobacteria	3572
k__Bacteria|p__Planctomycetes	739
k__Bacteria|p__Verrucomicrobia	135
k__Bacteria|p__Chlamydiae	18
k__Bacteria|p__Bacteroidetes	736
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Eukaryota	5084
k__Eukaryota|k__Viridiplantae	3578
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3578
k__Eukaryota|k__Metazoa	1230
k__Eukaryota|k__Metazoa|p__Chordata	1230
k__Eukaryota|k__Fungi	274
k__Eukaryota|k__Fungi|p__Ascomycota	222
k__Eukaryota|k__Fungi|p__Basidiomycota	52
k__Eukaryota|p__Euglenozoa	1
