#Classification	GQ14_bracken_P.kreport
k__Bacteria	7564662
k__Bacteria|p__Firmicutes	3628287
k__Bacteria|p__Actinobacteria	653861
k__Bacteria|p__Tenericutes	517
k__Bacteria|p__Bacteroidetes	1118306
k__Bacteria|p__Proteobacteria	1662503
k__Bacteria|p__Fusobacteria	404595
k__Bacteria|p__Candidatus_Saccharibacteria	90579
k__Bacteria|p__Spirochaetes	5730
k__Bacteria|p__Synergistetes	281
k__Eukaryota	6331
k__Eukaryota|k__Metazoa	6286
k__Eukaryota|k__Metazoa|p__Chordata	6286
k__Eukaryota|p__Apicomplexa	26
k__Eukaryota|k__Viridiplantae	18
k__Eukaryota|k__Viridiplantae|p__Streptophyta	18
k__Viruses	75
k__Viruses|k__Heunggongvirae	73
k__Viruses|k__Heunggongvirae|p__Uroviricota	46
k__Viruses|k__Heunggongvirae|p__Peploviricota	27
k__Viruses|k__Shotokuvirae	2
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	2
