#Classification	S-7-POLPIL-G_bracken_P.kreport
k__Bacteria	524843
k__Bacteria|p__Proteobacteria	320971
k__Bacteria|p__Actinobacteria	90221
k__Bacteria|p__Cyanobacteria	8895
k__Bacteria|p__Firmicutes	65083
k__Bacteria|p__Deinococcus-Thermus	96
k__Bacteria|p__Chloroflexi	70
k__Bacteria|p__Armatimonadetes	48
k__Bacteria|p__Tenericutes	28
k__Bacteria|p__Acidobacteria	29129
k__Bacteria|p__Bacteroidetes	5949
k__Bacteria|p__Chlorobi	8
k__Bacteria|p__Rhodothermaeota	15
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Gemmatimonadetes	87
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Planctomycetes	3503
k__Bacteria|p__Verrucomicrobia	416
k__Bacteria|p__Chlamydiae	21
k__Bacteria|p__Kiritimatiellaeota	125
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Spirochaetes	114
k__Bacteria|p__Nitrospirae	9
k__Bacteria|p__Fusobacteria	8
k__Bacteria|p__Thermotogae	6
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Bacteria|p__Deferribacteres	3
k__Bacteria|p__Synergistetes	12
k__Bacteria|p__Chrysiogenetes	9
k__Eukaryota	276693
k__Eukaryota|k__Viridiplantae	240547
k__Eukaryota|k__Viridiplantae|p__Streptophyta	240365
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	181
k__Eukaryota|k__Metazoa	29241
k__Eukaryota|k__Metazoa|p__Chordata	29241
k__Eukaryota|k__Fungi	6750
k__Eukaryota|k__Fungi|p__Ascomycota	6490
k__Eukaryota|k__Fungi|p__Basidiomycota	259
k__Eukaryota|k__Fungi|p__Microsporidia	1
k__Eukaryota|p__Bacillariophyta	51
k__Eukaryota|p__Apicomplexa	26
k__Eukaryota|p__Cercozoa	23
k__Eukaryota|p__Euglenozoa	46
k__Eukaryota|p__Evosea	6
k__Archaea	82
k__Archaea|p__Euryarchaeota	76
k__Archaea|p__Thaumarchaeota	4
k__Archaea|p__Crenarchaeota	2
k__Viruses	17
k__Viruses|k__Heunggongvirae	17
k__Viruses|k__Heunggongvirae|p__Uroviricota	17
