#Classification	S-7-POLCOM-B_bracken_O.kreport
k__Bacteria	1766108
k__Bacteria|p__Proteobacteria	1185392
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	517241
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	312018
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	115934
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	53060
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	26108
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	9186
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	419
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	165
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	143
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	14
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	85
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	83
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	342147
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	331484
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	5463
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2146
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	3053
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	313439
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	232589
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	42946
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	26797
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1583
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2356
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	379
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1940
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	365
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1131
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	295
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	370
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	70
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1879
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	235
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	45
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	319
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	67
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	39
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	21
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	3
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	11870
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	10232
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	738
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	403
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	228
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	43
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	89
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	17
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	117
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	214
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	214
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	283
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	283
k__Bacteria|p__Proteobacteria|c__Oligoflexia	106
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	85
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	17
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	3
