#Classification	S-26-POLJUN-G_bracken_P.kreport
k__Bacteria	248230
k__Bacteria|p__Proteobacteria	194277
k__Bacteria|p__Cyanobacteria	25761
k__Bacteria|p__Actinobacteria	23854
k__Bacteria|p__Firmicutes	218
k__Bacteria|p__Chloroflexi	5
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Deinococcus-Thermus	2
k__Bacteria|p__Acidobacteria	2731
k__Bacteria|p__Bacteroidetes	1054
k__Bacteria|p__Planctomycetes	310
k__Bacteria|p__Verrucomicrobia	7
k__Bacteria|p__Chlamydiae	5
k__Eukaryota	42866
k__Eukaryota|k__Viridiplantae	40965
k__Eukaryota|k__Viridiplantae|p__Streptophyta	40963
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	2
k__Eukaryota|k__Metazoa	1712
k__Eukaryota|k__Metazoa|p__Chordata	1712
k__Eukaryota|k__Fungi	187
k__Eukaryota|k__Fungi|p__Ascomycota	133
k__Eukaryota|k__Fungi|p__Basidiomycota	54
