#Classification	GQ5_bracken_P.kreport
k__Bacteria	9469482
k__Bacteria|p__Firmicutes	3719366
k__Bacteria|p__Actinobacteria	592875
k__Bacteria|p__Tenericutes	52
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Bacteroidetes	4116016
k__Bacteria|p__Proteobacteria	930499
k__Bacteria|p__Fusobacteria	86462
k__Bacteria|p__Candidatus_Saccharibacteria	22987
k__Bacteria|p__Spirochaetes	1218
k__Eukaryota	8580
k__Eukaryota|k__Metazoa	6176
k__Eukaryota|k__Metazoa|p__Chordata	6176
k__Eukaryota|k__Fungi	477
k__Eukaryota|k__Fungi|p__Basidiomycota	477
k__Eukaryota|k__Viridiplantae	1923
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1923
k__Eukaryota|p__Apicomplexa	2
k__Viruses	134
k__Viruses|k__Heunggongvirae	134
k__Viruses|k__Heunggongvirae|p__Uroviricota	85
k__Viruses|k__Heunggongvirae|p__Peploviricota	49
