boreal_moss S-25-POLPIL-B  FASTQ   DNA   11,346,180  1,593,836,087       50    140.5      151
boreal_moss S-4-POLCOM-G    FASTQ   DNA    7,857,863  1,091,620,128       50    138.9      151
boreal_moss S-7-POLPIL-B    FASTQ   DNA   11,541,277  1,613,106,026       50    139.8      151
boreal_moss S-8-POLPIL-B    FASTQ   DNA   11,979,677  1,677,877,543       50    140.1      151
boreal_moss S-16-POLJUN-B  FASTQ   DNA    7,889,424  1,102,503,048       50    139.7      151
boreal_moss S-19-POLJUN-B  FASTQ   DNA   11,293,276  1,581,576,417       50      140      151
boreal_moss S-22-POLJUN-G  FASTQ   DNA    7,493,964  1,041,821,907       50      139      151
boreal_moss S-4-DICUND-G    FASTQ   DNA   10,222,207  1,420,315,818       50    138.9      151
boreal_moss S-11-POLPIL-G  FASTQ   DNA   10,218,754  1,418,680,090       50    138.8      151
boreal_moss N-2-TORTOR-G    FASTQ   DNA    8,413,935  1,171,306,891       50    139.2      151
boreal_moss S-3-POLPIL-G    FASTQ   DNA    8,991,854  1,251,090,122       50    139.1      151
boreal_moss S-12-POLJUN-G  FASTQ   DNA    8,880,174  1,236,521,444       50    139.2      151
boreal_moss S-21-POLPIL-G  FASTQ   DNA    8,431,239  1,167,417,046       50    138.5      151
boreal_moss S-15-POLPIL-B  FASTQ   DNA   10,889,341  1,524,211,599       50      140      151
boreal_moss S-26-POLJUN-B  FASTQ   DNA    8,572,276  1,199,355,682       50    139.9      151
boreal_moss S-25-POLJUN-G  FASTQ   DNA    7,723,755  1,073,040,459       50    138.9      151
boreal_moss S-7-POLJUN-G    FASTQ   DNA    8,621,075  1,198,112,907       50      139      151
boreal_moss S-8-POLJUN-G    FASTQ   DNA    7,422,396  1,033,249,836       50    139.2      151
boreal_moss S-3-DICUND-G    FASTQ   DNA    9,984,044  1,388,371,521       50    139.1      151
boreal_moss S-16-POLPIL-G  FASTQ   DNA   10,899,716  1,511,031,733       50    138.6      151
boreal_moss S-19-POLPIL-G  FASTQ   DNA    9,819,977  1,351,703,383       50    137.6      151
boreal_moss S-22-POLPIL-B  FASTQ   DNA   11,872,963  1,660,520,505       50    139.9      151
boreal_moss S-3-POLCOM-G    FASTQ   DNA    7,438,490  1,031,934,545       50    138.7      151
boreal_moss S-11-POLJUN-B  FASTQ   DNA    9,357,598  1,308,316,710       50    139.8      151
boreal_moss S-7-DICUND-B    FASTQ   DNA   10,939,859  1,519,024,335       50    138.9      151
boreal_moss S-8-DICUND-B    FASTQ   DNA   11,771,564  1,646,638,265       50    139.9      151
boreal_moss S-3-POLJUN-B    FASTQ   DNA    9,863,242  1,379,025,521       50    139.8      151
boreal_moss S-12-POLPIL-B  FASTQ   DNA   10,837,142  1,507,996,987       50    139.2      151
boreal_moss S-21-POLJUN-B  FASTQ   DNA   10,283,302  1,437,966,324       50    139.8      151
boreal_moss S-4-POLPIL-G    FASTQ   DNA    9,125,035  1,265,829,785       50    138.7      151
boreal_moss S-15-POLJUN-G  FASTQ   DNA    8,379,716  1,166,959,043       50    139.3      151
boreal_moss S-26-POLPIL-G  FASTQ   DNA    9,390,856  1,306,087,600       50    139.1      151
boreal_moss S-8-POLCOM-B    FASTQ   DNA   11,998,979  1,681,088,395       50    140.1      151
boreal_moss S-7-POLCOM-B    FASTQ   DNA   10,911,590  1,528,591,392       50    140.1      151
boreal_moss W-2-POLJUN-G    FASTQ   DNA    8,793,982  1,224,732,422       50    139.3      151
boreal_moss S-13-POLJUN-G  FASTQ   DNA    7,183,589    997,328,370       50    138.8      151
boreal_moss S-2-POLPIL-G    FASTQ   DNA    9,428,179  1,313,857,040       50    139.4      151
boreal_moss S-1-POLCOM-B    FASTQ   DNA   12,409,087  1,739,206,005       50    140.2      151
boreal_moss S-20-POLPIL-G  FASTQ   DNA    7,681,145  1,064,618,244       50    138.6      151
boreal_moss S-14-POLPIL-B  FASTQ   DNA   11,561,658  1,615,759,108       50    139.8      151
boreal_moss S-1-DICUND-B    FASTQ   DNA   10,030,153  1,393,650,109       50    138.9      151
boreal_moss S-27-POLJUN-B  FASTQ   DNA    9,483,837  1,326,621,254       50    139.9      151
boreal_moss S-5-POLCOM-G    FASTQ   DNA    7,520,967  1,048,419,718       50    139.4      151
boreal_moss W-1-TORTOR-G    FASTQ   DNA    8,486,543  1,178,650,757       50    138.9      151
boreal_moss S-24-POLPIL-B  FASTQ   DNA   11,719,740  1,640,644,800       50      140      151
boreal_moss S-18-POLJUN-B  FASTQ   DNA    9,473,570  1,322,833,312       50    139.6      151
boreal_moss S-17-POLJUN-B  FASTQ   DNA    9,656,889  1,350,746,193       50    139.9      151
boreal_moss S-9-POLPIL-B    FASTQ   DNA   10,964,124  1,533,939,360       50    139.9      151
boreal_moss S-6-POLPIL-B    FASTQ   DNA   11,228,226  1,570,689,468       50    139.9      151
boreal_moss S-23-POLJUN-G  FASTQ   DNA    8,156,230  1,135,137,014       50    139.2      151
boreal_moss S-10-POLPIL-G  FASTQ   DNA    9,921,135  1,377,882,734       50    138.9      151
boreal_moss S-1-POLJUN-G    FASTQ   DNA    9,245,887  1,284,031,970       50    138.9      151
boreal_moss S-5-DICUND-G    FASTQ   DNA   10,869,237  1,512,593,329       50    139.2      151
boreal_moss S-13-POLPIL-B  FASTQ   DNA   11,982,157  1,670,125,586       50    139.4      151
boreal_moss S-2-POLJUN-B    FASTQ   DNA   11,744,213  1,640,711,401       50    139.7      151
boreal_moss S-9-DICUND-B    FASTQ   DNA   10,541,783  1,470,311,153       50    139.5      151
boreal_moss S-6-DICUND-B    FASTQ   DNA   13,374,059  1,868,142,271       50    139.7      151
boreal_moss S-20-POLJUN-B  FASTQ   DNA    9,415,155  1,320,502,645       50    140.3      151
boreal_moss S-14-POLJUN-G  FASTQ   DNA    7,599,612  1,059,344,050       50    139.4      151
boreal_moss S-5-POLPIL-G    FASTQ   DNA   10,712,887  1,493,614,684       50    139.4      151
