./Moss/KB45_GTDB/S-3-POLPIL-B/S-3-POLPIL-B.kreport	193244	11312139	0.01680
./Moss/KB45_GTDB/N-3-POLJUN-G/N-3-POLJUN-G.kreport	1030806	8901041	0.10379
./Moss/KB45_GTDB/S-19-POLPIL-B/S-19-POLPIL-B.kreport	432385	11696055	0.03565
./Moss/KB45_GTDB/S-16-POLPIL-B/S-16-POLPIL-B.kreport	321270	10384818	0.03001
./Moss/KB45_GTDB/S-22-POLPIL-G/S-22-POLPIL-G.kreport	100388	8009957	0.01238
./Moss/KB45_GTDB/S-11-POLJUN-G/S-11-POLJUN-G.kreport	329422	9434202	0.03374
./Moss/KB45_GTDB/S-7-POLPIL-G/S-7-POLPIL-G.kreport	116412	9639983	0.01193
./Moss/KB45_GTDB/S-8-POLPIL-G/S-8-POLPIL-G.kreport	59211	10578216	0.00557
./Moss/KB45_GTDB/S-12-POLPIL-G/S-12-POLPIL-G.kreport	244526	8781261	0.02709
./Moss/KB45_GTDB/S-21-POLJUN-G/S-21-POLJUN-G.kreport	261720	10456132	0.02442
./Moss/KB45_GTDB/W-1-POLJUN-G/W-1-POLJUN-G.kreport	344133	8230794	0.04013
./Moss/KB45_GTDB/S-4-POLCOM-B/S-4-POLCOM-B.kreport	532546	11580945	0.04396
./Moss/KB45_GTDB/S-4-DICUND-B/S-4-DICUND-B.kreport	131251	8230914	0.01570
./Moss/KB45_GTDB/S-15-POLJUN-B/S-15-POLJUN-B.kreport	242111	8125149	0.02894
./Moss/KB45_GTDB/S-26-POLPIL-B/S-26-POLPIL-B.kreport	244673	11159185	0.02146
./Moss/KB45_GTDB/S-22-POLJUN-G/S-22-POLJUN-G.kreport	197496	7296468	0.02635
./Moss/KB45_GTDB/S-8-POLCOM-B/S-8-POLCOM-B.kreport	374646	11624333	0.03122
./Moss/KB45_GTDB/W-2-POLJUN-G/W-2-POLJUN-G.kreport	134627	8659355	0.01531
./Moss/KB45_GTDB/S-7-POLCOM-B/S-7-POLCOM-B.kreport	364484	10547106	0.03340
./Moss/KB45_GTDB/S-4-POLPIL-G/S-4-POLPIL-G.kreport	127283	8997752	0.01395
./Moss/KB45_GTDB/S-11-POLPIL-G/S-11-POLPIL-G.kreport	123067	10095687	0.01204
