#Classification	S-3-DICUND-G_bracken_C.kreport
k__Bacteria	89667
k__Bacteria|p__Proteobacteria	86212
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	66133
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	10739
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	9339
k__Bacteria|p__Actinobacteria	3206
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3205
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Firmicutes|c__Bacilli	2
k__Bacteria|p__Acidobacteria	212
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	212
k__Bacteria|p__Bacteroidetes	18
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	15
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Bacteria|p__Planctomycetes	16
k__Bacteria|p__Planctomycetes|c__Planctomycetia	16
k__Eukaryota	744
k__Eukaryota|k__Viridiplantae	605
k__Eukaryota|k__Viridiplantae|p__Streptophyta	605
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	605
k__Eukaryota|k__Metazoa	137
k__Eukaryota|k__Metazoa|p__Chordata	137
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	137
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1
