#Classification	S-9-POLCOM-G_bracken_P.kreport
k__Bacteria	297065
k__Bacteria|p__Proteobacteria	248932
k__Bacteria|p__Actinobacteria	40501
k__Bacteria|p__Cyanobacteria	54
k__Bacteria|p__Firmicutes	941
k__Bacteria|p__Acidobacteria	4798
k__Bacteria|p__Bacteroidetes	1691
k__Bacteria|p__Planctomycetes	122
k__Bacteria|p__Verrucomicrobia	16
k__Bacteria|p__Chlamydiae	6
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Eukaryota	13348
k__Eukaryota|k__Viridiplantae	11997
k__Eukaryota|k__Viridiplantae|p__Streptophyta	11996
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|k__Metazoa	1130
k__Eukaryota|k__Metazoa|p__Chordata	1130
k__Eukaryota|k__Fungi	217
k__Eukaryota|k__Fungi|p__Ascomycota	130
k__Eukaryota|k__Fungi|p__Basidiomycota	87
k__Eukaryota|p__Euglenozoa	2
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
