#Classification	S-16-POLPIL-B_bracken_P.kreport
k__Bacteria	1709805
k__Bacteria|p__Proteobacteria	1025150
k__Bacteria|p__Actinobacteria	571512
k__Bacteria|p__Cyanobacteria	7361
k__Bacteria|p__Firmicutes	4448
k__Bacteria|p__Chloroflexi	624
k__Bacteria|p__Deinococcus-Thermus	224
k__Bacteria|p__Armatimonadetes	111
k__Bacteria|p__Tenericutes	57
k__Bacteria|p__Bacteroidetes	47794
k__Bacteria|p__Chlorobi	34
k__Bacteria|p__Rhodothermaeota	104
k__Bacteria|p__Ignavibacteriae	5
k__Bacteria|p__Balneolaeota	3
k__Bacteria|p__Gemmatimonadetes	274
k__Bacteria|p__Fibrobacteres	4
k__Bacteria|p__Acidobacteria	27176
k__Bacteria|p__Planctomycetes	20594
k__Bacteria|p__Verrucomicrobia	3191
k__Bacteria|p__Chlamydiae	97
k__Bacteria|p__Kiritimatiellaeota	505
k__Bacteria|p__Candidatus_Saccharibacteria	103
k__Bacteria|p__Candidatus_Absconditabacteria	3
k__Bacteria|p__Spirochaetes	155
k__Bacteria|p__Thermotogae	24
k__Bacteria|p__Nitrospirae	143
k__Bacteria|p__Deferribacteres	9
k__Bacteria|p__Synergistetes	27
k__Bacteria|p__Fusobacteria	26
k__Bacteria|p__Aquificae	3
k__Bacteria|p__Elusimicrobia	2
k__Bacteria|p__Coprothermobacterota	12
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Atribacterota	14
k__Eukaryota	47150
k__Eukaryota|k__Fungi	13724
k__Eukaryota|k__Fungi|p__Ascomycota	12632
k__Eukaryota|k__Fungi|p__Basidiomycota	1091
k__Eukaryota|k__Fungi|p__Microsporidia	1
k__Eukaryota|k__Metazoa	11052
k__Eukaryota|k__Metazoa|p__Chordata	11052
k__Eukaryota|k__Viridiplantae	22156
k__Eukaryota|k__Viridiplantae|p__Streptophyta	21258
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	897
k__Eukaryota|p__Euglenozoa	118
k__Eukaryota|p__Apicomplexa	48
k__Eukaryota|p__Bacillariophyta	27
k__Eukaryota|p__Cercozoa	8
k__Eukaryota|p__Evosea	13
k__Eukaryota|p__Rhodophyta	1
k__Archaea	174
k__Archaea|p__Euryarchaeota	166
k__Archaea|p__Thaumarchaeota	5
k__Archaea|p__Crenarchaeota	3
k__Viruses	72
k__Viruses|k__Heunggongvirae	70
k__Viruses|k__Heunggongvirae|p__Uroviricota	68
k__Viruses|k__Heunggongvirae|p__Peploviricota	2
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
