#Classification	S-6-POLCOM-G_bracken_P.kreport
k__Bacteria	25911
k__Bacteria|p__Proteobacteria	20543
k__Bacteria|p__Actinobacteria	1841
k__Bacteria|p__Cyanobacteria	15
k__Bacteria|p__Firmicutes	3099
k__Bacteria|p__Acidobacteria	373
k__Bacteria|p__Bacteroidetes	33
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	1569
k__Eukaryota|k__Viridiplantae	1235
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1235
k__Eukaryota|k__Metazoa	227
k__Eukaryota|k__Metazoa|p__Chordata	227
k__Eukaryota|k__Fungi	106
k__Eukaryota|k__Fungi|p__Ascomycota	104
k__Eukaryota|k__Fungi|p__Basidiomycota	2
