#Classification	S-21-POLPIL-G_bracken_G.kreport
k__Eukaryota	193
k__Eukaryota|k__Metazoa	193
k__Eukaryota|k__Metazoa|p__Chordata	193
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	193
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	193
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	193
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo	193
k__Bacteria	35
k__Bacteria|p__Proteobacteria	35
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	27
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	27
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	27
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Rhizobium	27
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	8
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	8
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	8
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	8
