#Classification	S-1-POLCOM-B_bracken_O.kreport
k__Bacteria	1348549
k__Bacteria|p__Proteobacteria	806430
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	460725
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	250273
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	101196
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	80981
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	18271
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	9289
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	466
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	134
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	28
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	56
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	13
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	232992
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	223166
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	5624
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1781
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2420
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	105259
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	37056
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	15231
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	3084
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	37230
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1580
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1300
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	4575
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	331
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1047
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	256
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	91
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	272
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2253
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	467
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	106
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	139
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	98
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	94
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	10
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	12
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	7097
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	5944
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	633
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	281
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	48
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	23
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	12
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	8
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	144
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	108
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	105
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	2
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	127
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	127
k__Bacteria|p__Proteobacteria|c__Oligoflexia	91
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	90
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	1
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	25
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	25
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	2
k__Bacteria|p__Actinobacteria	253032
k__Bacteria|p__Actinobacteria|c__Actinomycetia	236543
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	91579
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	29167
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	27378
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	38797
