feature	Agathobaculum.butyriciproducens	Akkermansia.muciniphila	Alistipes.onderdonkii	Alistipes.putredinis	Anaerobutyricum.hallii	Anaerobutyricum.soehngenii	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.fragilis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Barnesiella.intestinihominis	Bifidobacterium.adolescentis	Bifidobacterium.angulatum	Bifidobacterium.bifidum	Bifidobacterium.catenulatum	Bifidobacterium.longum	Bifidobacterium.pseudocatenulatum	Blautia.faecis	Blautia.massiliensis	Blautia.obeum	Blautia.wexlerae	Brotolimicola.acetigignens	Catenibacterium.tridentinum	Cibionibacter.quicibialis	Clostridiaceae.bacterium	Clostridiales.bacterium.KLE1615	Clostridium.SGB4750	Clostridium.fessum	Clostridium.leptum	Clostridium.sp.AM22.11AC	Collinsella.aerofaciens	Coprococcus.catus	Coprococcus.comes	Coprococcus.eutactus	Dialister.invisus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.ramulus	Eubacterium.rectale	Eubacterium.ventriosum	Evtepia.gabavorous	Faecalibacillus.intestinalis	Faecalibacterium.SGB15346	Faecalibacterium.prausnitzii	Faecalibacterium.sp.CLA.AA.H233	Faecalibacterium.sp.HTFF	Fusicatenibacter.saccharivorans	GGB3256.SGB4303	GGB3277.SGB4327	GGB3304.SGB4367	GGB3740.SGB5077	GGB4552.SGB6276	GGB51647.SGB4348	Gemmiger.formicilis	Intestinibacter.bartlettii	Lachnospira.eligens	Lachnospira.sp.NSJ.43	Lachnospiraceae.bacterium.CLA.AA.H244	Lacrimispora.amygdalina	Mediterraneibacter.faecis	Monoglobus.pectinilyticus	Oliverpabstia.intestinalis	Oscillibacter.sp.ER4	Oscillospiraceae.bacterium.CLA.AA.H250	Parabacteroides.merdae	Phocaeicola.vulgatus	Romboutsia.timonensis	Roseburia.faecis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.lactaris	Ruminococcus.torques	Ruthenibacterium.lactatiformans	Segatella.copri	Streptococcus.salivarius
NS67	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	17	1	1	0	0	0	0	0	0	2	0	0	0	3	0	6	0	0	0	6	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2	0	0	0	3	0	0	0
NS30	0	0	0	0	0	0	4	1	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	5	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	9	4	1	0	0	0	0	0	0	0	0
NS51	1	0	0	0	0	2	2	1	0	0	0	0	0	0	2	0	0	2	1	0	0	2	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	1	0	0	0	5	0	0	4	0	0	0	0	0	1	4	0	0	0	1	0	5	0	1	0	3	0	0	4	0	0	0	0	4	1	0	0	0	0	1
NS55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	22	4	2	6	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0
NS70	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	4	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	19	0	0	1	0	5	0	0	3	0	0	0	0	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	9	1
NS86	0	0	0	0	0	0	18	0	0	0	0	0	0	0	2	1	1	0	0	0	1	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	7	0	1	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	2	0
NS34	0	1	1	0	0	0	0	8	19	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	1	0	0	0
NS32	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	5	3	0	0	1	0	0	0	0	0	11	1	0	1	0	0	2	0	1	9	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	4	0
NS40	1	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	2	0	1	0	1	0	0	3	0	0	1	0	0	0	0	4	0	1	0	0	0	22	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	3	0	1	0	0	0	0	0	1	3	0
NS13	1	0	2	0	3	0	4	0	1	2	0	1	0	0	0	0	0	0	0	0	0	8	0	16	0	4	0	0	0	0	1	1	0	0	1	0	0	0	0	6	0	2	0	0	0	0	6	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
